gene	process	chr	function	ENSG
Gclc	ROS defense	NA	Gclc: Catalyzes the first step reaction combining cystein and glutamate to form glutamylcysteine	NA
Gclm	ROS defense	NA	Gclm: Catalyzes the first step reaction combining cystein and glutamate to form glutamylcysteine	NA
Slc25a1	ROS defense	NA	Slc25a1: May be involved in the transport of gluthathione inside the mitochondria	NA
Sod2	ROS defense	NA	Sod2: Dismutates the super oxide generated in the mitochondiral matrix to hydrogen peroxide	NA
Bckdha	ROS defense	NA	Bckdha: Involved in the catabolism of aminoacids in mitochondria and may also be involved in the production of superoxides and hydrogen peroxide	NA
Bckdhb	ROS defense	NA	Bckdhb: Involved in the catabolism of aminoacids in mitochondria and may also be involved in the production of superoxides and hydrogen peroxide	NA
Gpx4	ROS defense	NA	Gpx4: Involved in the reduction of the lipid peroxides to their hydroxides	NA
Prdx3	ROS defense	NA	Prdx3: Mitochondrial peroxiredoxin reduces hydrogen peroxide to water	NA
Txn2	ROS defense	NA	Txn2: Mitochondrial thioredoxin reduces peroxiredoxin to their super oxide scavenging state	NA
Txnrd2	ROS defense	NA	Txnrd2: Maintains thioredoxins in their reduced state using NAPDH reducing equivalents	NA
Mpv17	ROS defense	NA	Mpv17: May have a role in the metabolism of reactive oxygen species	NA
Mpv17l	ROS defense	NA	Mpv17l: May have a role in the metabolism of reactive oxygen species	NA
Glrx2	ROS defense	NA	Glrx2: Involved in the control of mitochondrial protein gluthathionylation	NA
Gstp2	ROS defense	NA	Gstp2: Mitochondrial gluthathione-S-transferases through gluthothione conjugation or peroxide reduction detoxify harmful byproducts	NA
Gstp1	ROS defense	NA	Gstp1: Mitochondrial gluthathione-S-transferases through gluthothione conjugation or peroxide reduction detoxify harmful byproducts	NA
Gss	ROS defense	NA	Gss: Catalyzes the formation of gluthathione from glutamylcysteine by combining it with the glycine	NA
Slc25a11	ROS defense	NA	Slc25a11: May be involved in the transport of gluthathione inside the mitochondria	NA
Slc25a10	ROS defense	NA	Slc25a10: May be involved in the transport of gluthathione inside the mitochondria	NA
Sod1	ROS defense	NA	Sod1: May be involved in the removal of superoxides in the inter membrane space of mitochondria	NA
Gpx1	ROS defense	NA	Gpx1: Reduces hydrogen peroxide to water by utilising reducing equivalents from gluthathione	NA
Gsr	ROS defense	NA	Gsr: Reduces oxidized gluthathione to gluthathione to be reutilized by Gpx1	NA
Gsta1	ROS defense	NA	Gsta1: Mitochondrial gluthathione-S-transferases through gluthothione conjugation or peroxide reduction detoxify harmful byproducts	NA
Gsta2	ROS defense	NA	Gsta2: Mitochondrial gluthathione-S-transferases through gluthothione conjugation or peroxide reduction detoxify harmful byproducts	NA
Gsta4	ROS defense	NA	Gsta4: Mitochondrial gluthathione-S-transferases through gluthothione conjugation or peroxide reduction detoxify harmful byproducts	NA
Shc1	ROS defense	NA	Shc1: Could be involved in the generation of the hydrogen peroxide independent of superoxides in mitochondria	NA
Cds1	Cardiolipin biosynthesis	NA	Cds1: Converts phosphatidic acid to cytidine diphosphate diacylglycerol	NA
Cds2	Cardiolipin biosynthesis	NA	Cds2: Converts phosphatidic acid to cytidine diphosphate diacylglycerol	NA
Pgs1	Cardiolipin biosynthesis	NA	Pgs1: Phosphatidylglycerol synthase converts cytidine diphosphate diacylglycerol to phosphatidylglycerol phosphate	NA
Ptpmt1	Cardiolipin biosynthesis	NA	Ptpmt1: Phosphatidylglycerophosphatase activity removes phospate from phosphatidylglycerol phosphate to form phosphatidylglycerol	NA
Crls1	Cardiolipin biosynthesis	NA	Crls1: Catalyzes the condensation of cytidine diphosphate diacylglycerol and phosphatidylglycerol forming a nascent cardiolipin	NA
Taz	Cardiolipin biosynthesis	NA	Taz: Converts the nascent cardiolipin to mature cardiolipin	NA
Tomm20	Import & Sorting	NA	Tomm20: Outer membrane translocation, recognize targeting singnals in presequences at the mitochondrial outer membrane	NA
Tomm22	Import & Sorting	NA	Tomm22: Outer membrane translocation, recognize targeting singnals in presequences at the mitochondrial outer membrane	NA
Tomm40	Import & Sorting	NA	Tomm40: Outer membrane translocation, forms the outer membrane channel forming protein	NA
Tomm40l	Import & Sorting	NA	Tomm40l: Outer membrane translocation, forms the outer membrane channel forming protein	NA
Tomm5	Import & Sorting	NA	Tomm5: Outer membrane translocation, transports preprotein to the import pore formed by Tomm40	NA
Tomm70a	Import & Sorting	NA	Tomm70a: Outer membrane translocation, recognizes proteins with internal targeting signals	NA
Tomm6	Import & Sorting	NA	Tomm6: Outer membrane translocation, required for the assembly and stability of the Tom complex	NA
Tomm7	Import & Sorting	NA	Tomm7: Outer membrane translocation, required for the assembly and stability of the Tom complex	NA
Timm50	Import & Sorting	NA	Timm50: Inner membrane translocation, guides the preproteins to the import channel formed by Timm23	NA
Timm17a	Import & Sorting	NA	Timm17a: Inner membrane translocation, might influence the channel activity formed by the Timm23	NA
Timm17b	Import & Sorting	NA	Timm17b: Inner membrane translocation, might influence the channel activity formed by the Timm23	NA
Timm23	Import & Sorting	NA	Timm23: Inner membrane translocation, forms the main channel forming protein	NA
Timm21	Import & Sorting	NA	Timm21: Inner membrane translocation, connects Tomm and Timm complex and may assists the release of preprotein from the TOMM complex	NA
Hspa9	Import & Sorting	NA	Hspa9: Presequence translocase associated motor, binds to the preprotein and drives it into the matrix in association with other chaperones and is also involved in the mediation of the interaction between VDAC1 and Inositol-1,4,5-triphosphate receptors	NA
Timm44	Import & Sorting	NA	Timm44: Presequence translocase associated motor, gets asssociated with the Hspa9 to drive proteins into the matrix	NA
Dnajc19	Import & Sorting	NA	Dnajc19: Presequence translocase associated motor, could stimulate the ATPase activity of HSPA9	NA
Pam16	Import & Sorting	NA	Pam16: Presequence translocase associated motor, controls the activity of Dnajc19	NA
Grpel1	Import & Sorting	NA	Grpel1: Presequence translocase associated motor, acts as a nucleotide exchange factor releasing the ADP from Hspa9	NA
Grpel2	Import & Sorting	NA	Grpel2: Presequence translocase associated motor, acts as a nucleotide exchange factor releasing the ADP from Hspa9	NA
Timm9	Import & Sorting	NA	Timm9: Innermembrane carrier pathway, forms complex with Timm10 and performs chaperone like activity in the intermembrane space	NA
Timm10	Import & Sorting	NA	Timm10: Innermembrane carrier pathway, forms complex with Timm9 and performs chaperone like activity in the intermembrane space	NA
Timm8a1	Import & Sorting	NA	Timm8a1: Innermembrane carrier pathway, forms complex with Timm13 and also performs the transfer of inner membrane proteins	NA
Timm8a2	Import & Sorting	NA	Timm8a2: Innermembrane carrier pathway, forms complex with Timm13 and also performs the transfer of inner membrane proteins	NA
Timm8b	Import & Sorting	NA	Timm8b: Innermembrane carrier pathway, forms complex with Timm13 and also performs the transfer of inner membrane proteins	NA
Timm13	Import & Sorting	NA	Timm13: Innermembrane carrier pathway, forms complex with Timm8 and performs the transfer of inner membrane proteins	NA
Timm22	Import & Sorting	NA	Timm22: Innermembrane carrier pathway, forms the core channel and inserts proteins into inner membrane	NA
Chchd4	Import & Sorting	NA	Chchd4: Intermembrane transport and assembly, acts as a receptor at the inter membrane space and recognizes incoming precursor proteins	NA
Gfer	Import & Sorting	NA	Gfer: Intermembrane transport and assembly, it is know to oxidize Chchd4 and then the oxidized Chchd4 acts as a receptor for the pre proteins and it also facilitates assembly of cytosolic Fe_„_S proteins	NA
Samm50	Import & Sorting	NA	Samm50: Outermembrane sorting and assembly machinary, central component of SAMM complex and inserts beta barrel proteins into the outer membrane	NA
Pmpca	Import & Sorting	NA	Pmpca: Presequence of preproteins are removed by proteolytic enzyme mitochondrial processing peptidase	NA
Pmpcb	Import & Sorting	NA	Pmpcb: Presequence of preproteins are removed by proteolytic enzyme mitochondrial processing peptidase	NA
Mipep	Import & Sorting	NA	Mipep: Secondary cleavage of the pre proteins processed by the mitochondrial processing peptidase	NA
Immp1l	Import & Sorting	NA	Immp1l: Inner membrane peptidase that cleaves hydrophobic sorting signal	NA
Immp2l	Import & Sorting	NA	Immp2l: Inner membrane peptidase that cleaves hydrophobic sorting signal	NA
Cs	Tricarboxylic acid cycle	NA	Cs: Catalyzes the synthesis of citrate from oxaloacetate and acetyl coenzyme A	NA
Aco2	Tricarboxylic acid cycle	NA	Aco2: Catalyzes the interconversion of citrate to isocitrate 	NA
Idh2	Tricarboxylic acid cycle	NA	Idh2: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	NA
Idh3a	Tricarboxylic acid cycle	NA	Idh3a: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	NA
Idh1	Tricarboxylic acid cycle	NA	Idh1: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	NA
Idh3b	Tricarboxylic acid cycle	NA	Idh3b: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	NA
Idh3g	Tricarboxylic acid cycle	NA	Idh3g: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	NA
Ogdh	Tricarboxylic acid cycle	NA	Ogdh: Catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO2	NA
Dlst	Tricarboxylic acid cycle	NA	Dlst: Catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO2	NA
Dld	Tricarboxylic acid cycle	NA	Dld: Catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO2	NA
Suclg1	Tricarboxylic acid cycle	NA	Suclg1: Catalyzes the conversion of succinyl CoA to succinate	NA
Sucla2	Tricarboxylic acid cycle	NA	Sucla2: convert succinate to succinyl-CoA	NA
Suclg2	Tricarboxylic acid cycle	NA	Suclg2: Catalyzes the conversion of succinyl CoA to succinate	NA
