gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	5.24341	5.24892	0.00151596	0.9893
SAMD11	2.14384	0.992012	-1.11177	0.1915
KLHL17	18.4285	15.2077	-0.277135	0.0021
PLEKHN1	2.40292	3.37347	0.489445	5e-05
ISG15	167.05	310.851	0.895939	5e-05
AGRN	25.4381	20.6332	-0.302021	0.00035
B3GALT6	13.9717	12.4935	-0.161336	0.0756
SCNN1D	1.73427	1.18257	-0.552398	0.00015
PUSL1	26.6147	27.7673	0.0611606	0.7652
GLTPD1	9.80884	8.56893	-0.194968	0.0419
LOC148413	14.0458	14.3673	0.0326506	0.85045
VWA1	20.14	17.1721	-0.230003	0.00845
ATAD3C	0.408702	0.585385	0.518338	0.0082
ATAD3B	25.7743	29.0361	0.17191	0.04665
ATAD3A	44.7908	52.4062	0.226537	0.00855
MIB2	24.8272	27.4417	0.144445	0.095
GABRD	6.34937	5.28777	-0.263955	0.00835
PRKCZ	18.13	16.1076	-0.170639	0.17855
SKI	22.4803	19.7857	-0.184203	0.0283
RER1	30.5602	32.8077	0.102382	0.3032
PLCH2	0.731262	1.10503	0.595628	5e-05
FAM213B	23.0271	21.2818	-0.113714	0.2297
PRDM16	1.18211	1.33999	0.180852	0.0592
ARHGEF16	18.637	19.1489	0.0390866	0.6539
TPRG1L	33.2971	24.7876	-0.425777	5e-05
TP73	8.9417	7.17418	-0.317734	0.0004
LOC388588	3.78784	5.11526	0.433433	0.0498
DFFB	5.43951	6.08132	0.160909	0.0991
KCNAB2	6.38713	7.26761	0.186314	0.15555
RNF207	8.8369	6.81819	-0.374152	0.14405
ESPN	23.0784	23.6793	0.0370808	0.6635
ZBTB48	8.91291	8.4803	-0.0717813	0.4639
PHF13	15.8681	12.9721	-0.29072	0.0005
THAP3	11.0213	9.39251	-0.230705	0.4183
CAMTA1	27.8354	31.127	0.16125	0.18235
VAMP3	40.809	38.8541	-0.0708185	0.4078
PER3	1.60021	0.840566	-0.92883	5e-05
PARK7	300.477	350.314	0.221396	0.00855
SLC45A1	5.80059	5.90903	0.0267214	0.77695
ENO1-AS1	0.6348	1.0691	0.752018	0.40465
H6PD	5.08646	4.44384	-0.194852	0.0285
SPSB1	5.79538	5.51195	-0.0723412	0.4685
SLC25A33	21.1708	24.597	0.21641	0.0194
TMEM201	14.4143	13.451	-0.0997877	0.26825
