gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	6.13246	5.81758	-0.0760487	0.7457
SAMD11	2.46201	3.16829	0.363868	0.7693
KLHL17	14.1434	18.3285	0.373965	0.0687
PLEKHN1	2.29236	2.73302	0.253663	0.35005
ISG15	106.835	194.367	0.863396	5e-05
AGRN	19.5509	21.9221	0.16515	0.39235
B3GALT6	10.9797	8.08753	-0.441065	0.0387
SCNN1D	1.39768	3.70916	1.40806	5e-05
PUSL1	21.6237	15.0243	-0.52532	0.273
GLTPD1	10.6312	14.1544	0.412942	0.0519
LOC148413	13.1626	9.52598	-0.466499	0.2355
VWA1	17.9016	8.84598	-1.017	5e-05
ATAD3B	14.0092	12.5808	-0.155151	0.46055
ATAD3A	33.3957	28.9403	-0.206584	0.2906
MIB2	22.0341	21.6484	-0.025474	0.89665
GABRD	7.0365	10.9573	0.638957	0.0043
PRKCZ	18.31	18.8637	0.0429766	0.87855
SKI	21.9517	25.8968	0.238442	0.20285
RER1	31.2264	37.6071	0.268235	0.2232
PLCH2	1.06377	1.10474	0.0545277	0.84115
FAM213B	17.2053	19.6647	0.192759	0.3714
PRDM16	1.3832	1.36785	-0.0161006	0.94235
ARHGEF16	19.3563	13.6954	-0.49911	0.0155
TPRG1L	29.0011	32.1502	0.148719	0.4484
TP73	8.1171	10.4067	0.358481	0.07595
LOC388588	4.35458	5.06131	0.216978	0.5339
DFFB	5.58532	3.52786	-0.662846	0.00315
KCNAB2	5.90347	4.82519	-0.290977	0.35125
RNF207	5.36268	7.71891	0.525442	0.3664
ESPN	32.075	19.4601	-0.720934	0.0002
ZBTB48	8.42644	8.88021	0.0756717	0.73135
PHF13	13.7263	18.4398	0.425885	0.0291
THAP3	10.7083	11.4766	0.0999632	0.865
CAMTA1	29.5108	25.3296	-0.220417	0.47165
VAMP3	45.359	54.6006	0.267529	0.16315
PER3	1.61593	1.83607	0.184257	0.4172
PARK7	254.418	247.821	-0.0379031	0.83715
SLC45A1	7.49163	8.54996	0.190638	0.38795
ENO1-AS1	1.37029	0.716679	-0.935077	0.16715
H6PD	6.80538	6.8684	0.0132976	0.9467
SPSB1	5.26002	10.3681	0.979016	5e-05
SLC25A33	16.3259	16.1578	-0.0149309	0.9428
TMEM201	11.2206	10.855	-0.0477847	0.8164
PIK3CD	5.35017	5.3603	0.00272912	0.99725
NMNAT1	4.61463	3.52066	-0.390368	0.07345
RBP7	33.6294	36.2888	0.109803	0.61075
UBE4B	16.5633	15.0294	-0.1402	0.4588
KIF1B	11.0908	11.2749	0.0237494	0.9004
PGD	160.108	169.766	0.0845009	0.6489
APITD1	13.8108	11.4441	-0.271195	0.22025
APITD1-CORT	13.8108	11.4441	-0.271195	0.22025
CORT	13.8108	11.4441	-0.271195	0.22025
PEX14	20.0645	19.4403	-0.0455927	0.82805
TARDBP	46.1565	44.1892	-0.0628393	0.7337
UBIAD1	7.52448	7.5475	0.00440718	0.9811
PTCHD2	0.902296	1.22114	0.436556	0.1063
FBXO44	15.2204	24.2016	0.669098	0.12615
FBXO6	11.1091	12.1213	0.1258	0.5681
C1orf187	3.15387	13.7913	2.12857	5e-05
AGTRAP	30.8241	25.832	-0.254898	0.22425
CLCN6	4.07782	4.7492	0.219888	0.3913
PLOD1	121.535	95.3994	-0.349324	0.0606
MFN2	32.2278	37.7195	0.227007	0.22685
MIIP	24.0294	23.1165	-0.0558816	0.78345
VPS13D	4.15703	5.94056	0.515047	0.00725
PRDM2	3.46056	3.7971	0.133893	0.53155
KAZN	6.46933	3.24042	-0.997438	5e-05
TMEM51	10.9178	9.69496	-0.171378	0.42605
FHAD1	1.16437	0.144198	-3.01343	5e-05
EFHD2	32.5441	25.6343	-0.344323	0.0849
DNAJC16	9.27538	7.54693	-0.297516	0.12795
DDI2	10.0583	7.802	-0.366467	0.10405
RSC1A1	10.0583	7.802	-0.366467	0.10405
PLEKHM2	19.8936	17.6055	-0.176273	0.36975
FBLIM1	1.65715	0.856671	-0.951891	0.0062
SPEN	18.8741	14.2767	-0.402746	0.0298
C1orf144	64.5401	56.1881	-0.19993	0.28015
NECAP2	25.9794	25.4424	-0.0301329	0.8763
MST1P2	3.81429	5.02212	0.396879	0.0954
CROCC	7.44289	6.48205	-0.199414	0.34085
PADI3	3.9301	0.0973805	-5.33479	5e-05
ARHGEF10L	8.1106	4.03085	-1.00872	5e-05
MRTO4	43.1411	23.638	-0.867953	5e-05
PQLC2	5.30578	6.3882	0.267845	0.26665
C1orf151-NBL1	54.5119	53.1227	-0.0372431	0.8491
MINOS1	54.5119	53.1227	-0.0372431	0.8491
NBL1	54.5119	53.1227	-0.0372431	0.8491
OTUD3	4.72533	4.51991	-0.0641238	0.74715
CDA	23.4289	24.7978	0.0819239	0.7117
PINK1	21.0342	29.8062	0.502878	0.0117
NBPF3	5.37618	5.31996	-0.0151664	0.93815
LINC00339	7.63265	7.22111	-0.0799637	0.75125
CDC42	129.217	123.98	-0.0596926	0.74995
ZBTB40	7.74108	7.08214	-0.128348	0.50795
EPHB2	12.2522	11.004	-0.155007	0.4314
KDM1A	102.496	61.7459	-0.731152	5e-05
C1orf213	1.71184	1.30877	-0.387346	0.63375
RPL11	1551.54	1132.3	-0.45445	0.0154
TCEB3	10.1432	14.5864	0.524108	0.01125
PITHD1	31.7748	31.0941	-0.0312435	0.87145
LYPLA2	68.219	51.2234	-0.413372	0.0336
PNRC2	45.9067	32.6471	-0.491749	0.01135
NIPAL3	6.86212	7.25559	0.0804391	0.69445
RCAN3	9.81773	9.81396	-0.000554511	0.998
C1orf130	0.386634	1.00676	1.38068	5e-05
SRRM1	58.4798	59.3684	0.0217583	0.9054
CLIC4	46.6862	77.5775	0.732642	0.0001
TMEM50A	33.2814	36.8575	0.147243	0.45175
TMEM57	10.2777	10.5228	0.0340057	0.86345
LDLRAP1	17.2783	11.1235	-0.635347	0.0017
MAN1C1	1.2769	2.50983	0.974946	0.0004
SEPN1	43.5756	66.4101	0.607882	0.00145
FAM54B	23.3346	29.3777	0.33225	0.1058
PDIK1L	3.63743	2.99431	-0.280693	0.20785
ZNF593	49.5373	38.744	-0.354543	0.10095
CNKSR1	12.604	10.3972	-0.277676	0.17885
CEP85	12.6401	16.4644	0.38134	0.05235
SH3BGRL3	101.814	173.823	0.771682	0.00025
DHDDS	8.71314	11.2683	0.371002	0.07025
HMGN2	236.898	306.331	0.370823	0.0516
RPS6KA1	25.5094	15.2379	-0.743364	0.0002
ARID1A	21.1024	21.9294	0.0554622	0.764
PIGV	7.54008	7.35428	-0.0359955	0.86995
ZDHHC18	14.9245	12.8492	-0.216002	0.28465
SFN	118.447	115.543	-0.0358128	0.85115
NUDC	169.231	159.739	-0.0832762	0.65235
TRNP1	46.4143	21.3297	-1.1217	5e-05
WDTC1	17.2259	16.5809	-0.0550575	0.77715
TMEM222	19.3006	19.4668	0.0123734	0.9528
LOC644961	0.377851	0.496912	0.395172	0.7383
SYTL1	26.1709	17.9803	-0.541553	0.01085
GPR3	1.86622	2.03706	0.126376	0.6565
FAM76A	3.65853	3.5428	-0.046372	0.8386
STX12	11.442	11.3141	-0.0162265	0.93245
PPP1R8	32.5823	28.0424	-0.216478	0.26165
C1orf38	5.23592	5.7756	0.141529	0.62925
SMPDL3B	18.5324	7.96113	-1.219	5e-05
XKR8	7.3551	9.21091	0.324598	0.14035
