gene	value_1	value_2	log2(fold_change)	p_value
LOC100132062	2.70199	3.49523	0.371365	0.0284
LOC100133331	2.70199	3.49523	0.371365	0.0284
LOC643837	6.59216	7.16276	0.119764	0.5044
SAMD11	3.57061	4.3866	0.296934	0.7279
KLHL17	12.4346	13.2187	0.0882247	0.55135
PLEKHN1	2.01096	3.85902	0.940354	5e-05
ISG15	96.4415	144.676	0.585102	5e-05
AGRN	12.9868	14.9768	0.205677	0.1398
B3GALT6	9.023	9.45532	0.0675191	0.65755
SCNN1D	1.19801	1.42088	0.246153	0.26075
PUSL1	17.7731	19.4597	0.130795	0.68175
GLTPD1	6.80659	7.85307	0.206324	0.19545
TAS1R3	0.335487	0.544197	0.697873	0.03745
LOC148413	10.8135	11.7953	0.125373	0.6866
TMEM88B	0.790951	1.18463	0.582779	0.258
VWA1	10.1644	13.4993	0.409366	0.004
ATAD3C	0.919788	1.24866	0.441009	0.0391
ATAD3B	16.8402	19.2391	0.192137	0.1912
ATAD3A	30.421	36.2734	0.253844	0.08135
MIB2	13.6533	15.7997	0.210648	0.1474
MMP23B	0.345394	0.675515	0.967746	0.03025
CALML6	0.488497	0.623619	0.352315	0.3825
GABRD	7.27949	9.83434	0.433991	0.00715
PRKCZ	17.4596	17.1827	-0.023063	0.9079
SKI	22.5489	23.1615	0.0386725	0.7795
RER1	29.1176	33.2232	0.190302	0.25555
PLCH2	0.789945	0.871185	0.141227	0.5094
FAM213B	13.8827	16.1913	0.22193	0.1651
ACTRT2	1.48867	2.07892	0.481805	0.0533
PRDM16	1.26853	1.21153	-0.0663205	0.7095
ARHGEF16	13.0403	15.044	0.206212	0.15665
TPRG1L	32.9299	29.7911	-0.144513	0.30205
TP73	6.87449	8.38859	0.287176	0.04925
LOC388588	3.22607	4.50044	0.48029	0.1021
DFFB	5.27297	5.43328	0.0432081	0.79215
LOC284661	0.960713	1.07968	0.16842	0.5306
KCNAB2	6.16198	6.73285	0.127823	0.51205
RNF207	6.95313	6.2927	-0.143983	0.7085
ESPN	19.7315	21.8499	0.147124	0.30165
ZBTB48	6.92391	6.64725	-0.0588301	0.71495
PHF13	15.149	13.5703	-0.158775	0.26875
THAP3	7.88807	8.33489	0.0794906	0.8686
CAMTA1	33.1992	27.6894	-0.261813	0.1688
VAMP3	53.8768	59.938	0.153808	0.2664
PER3	1.13859	1.75513	0.624324	0.00125
PARK7	292.681	269.588	-0.118576	0.38925
SLC45A1	5.27802	4.05777	-0.37931	0.0313
ENO1-AS1	1.36128	1.7233	0.340207	0.3151
H6PD	7.58981	6.76517	-0.165937	0.25195
SPSB1	4.78405	5.55994	0.216836	0.1763
SLC25A33	20.8955	19.1269	-0.127589	0.40175
TMEM201	11.0248	11.2546	0.0297688	0.84
PIK3CD	4.14828	3.42696	-0.275586	0.62645
NMNAT1	5.17122	6.29486	0.28367	0.0691
RBP7	35.703	34.4513	-0.0514863	0.74775
UBE4B	18.3576	19.4793	0.0855688	0.53265
KIF1B	13.63	12.2821	-0.15023	0.284
PGD	147.318	133.183	-0.145528	0.29725
APITD1	12.7269	12.7964	0.00785413	0.9606
APITD1-CORT	12.7269	12.7964	0.00785413	0.9606
CORT	12.7269	12.7964	0.00785413	0.9606
PEX14	14.6891	16.2618	0.146741	0.3316
TARDBP	47.2012	51.4078	0.123162	0.3689
UBIAD1	8.84285	8.03556	-0.138113	0.362
PTCHD2	0.524082	0.528751	0.0127946	0.956
FBXO44	14.3263	16.4225	0.197009	0.50895
FBXO6	11.5339	15.0676	0.385566	0.0152
C1orf187	1.76947	1.1731	-0.592989	0.017
AGTRAP	28.2251	31.7643	0.17043	0.26195
CLCN6	4.19889	4.20861	0.0033382	0.9861
PLOD1	92.1001	99.434	0.110537	0.43435
MFN2	34.8382	37.6539	0.112131	0.41965
MIIP	14.9944	16.7092	0.156216	0.3039
VPS13D	4.95823	4.56472	-0.119299	0.39625
SNORA59A	3.85391	1.10107	-1.80742	0.591
PRDM2	3.70776	3.60186	-0.041807	0.79485
KAZN	6.69238	6.9352	0.0514185	0.75475
TMEM51	8.93276	10.9288	0.290956	0.06815
