gene	Protein-HCT116-5-4	Protein-RPE-1-21-3	Protein-RPE-1-5-3-12-3
SRSF4	-0.8689146	NaN	NaN
COG2	0.243791	-0.1415635	-0.08854867
CNIH4	-0.02999725	0.1606902	0.5944868
RPL5	-0.26642	-0.309409	-0.1375036
TTC4	-0.7686776	-0.5590513	-0.4549129
UAP1	1.018812	0.07183058	-0.004609353
CRYZ	-0.1097168	0.4602705	0.5329501
PRDX1	0.4242772	0.6355621	0.2970057
KIAA1522	0.6508507	0.2612932	NaN
RCC1	-0.8188025	-0.6123053	-0.2389091
RBM8A	-0.180555	-0.5237627	-0.05783149
CLIC4	0.5237553	0.1135513	-0.003026455
ABCD3	0.7215039	0.2424306	0.1608789
PPT1	-0.5754433	0.262642	0.2184808
SLC30A1	-0.2210519	0.2950219	0.7432308
NENF	-0.1593723	0.1147694	-0.4193231
PI4KB	0.2878269	0.01552772	NaN
PKN2	-0.4416148	-0.07901972	-0.02856915
NOL9	-0.1528558	-0.2174789	0.1180848
DNAJC8	-0.06577299	-0.4186756	-0.1949696
NDC1	-0.08088117	NaN	-0.2586999
DNAJB4	-0.1348431	0.2872193	0.009466274
DBT	-0.3502384	0.4377219	0.5455925
DIEXF	-1.00865	-0.3057954	-0.6893886
TRAPPC3	-0.05473693	0.1653536	-0.151729
GALNT2	-0.4865934	-0.1733832	-0.6186146
ACADM	-0.004879596	0.1240628	0.1807897
MRPS14	0.0908535	-1.826681	-0.1302719
ILF2	-0.3262989	-0.349705	-0.162339
IPO13	-0.3804837	0.02181906	0.312249
GNPAT	0.1840207	-0.0661237	-0.2459823
UBE4B	0.1926992	-0.2126316	-0.2820245
RER1	0.1138339	0.2247725	0.06114966
PRPF3	-0.466955	-0.3972554	-0.03280611
DDX20	-0.01486422	-0.4364817	0.3464079
CAPZA1	0.3559555	0.2138052	0.2521744
PFDN2	-0.4266118	-0.112233	0.01090452
DHRS3	0.3840995	NaN	NaN
DPH5	-1.143192	-0.06496163	-0.1523782
DNAJC16	-0.6308177	0.07393985	-0.1028596
ATP1A1	0.400751	0.1212668	0.2262568
EIF2B3	-0.4435363	0.04039308	0.04759191
SH3GLB1	0.4230941	0.2031365	0.1702966
RABGAP1L	0.4922242	-1.195033	-0.5278711
