gene	value_1	value_2	Protein-HCT116-5-4	p_value
SRSF4	NA	NA	-0.8689146	NA
COG2	NA	NA	0.243791	NA
CNIH4	NA	NA	-0.02999725	NA
RPL5	NA	NA	-0.26642	NA
TTC4	NA	NA	-0.7686776	NA
UAP1	NA	NA	1.018812	NA
CRYZ	NA	NA	-0.1097168	NA
PRDX1	NA	NA	0.4242772	NA
KIAA1522	NA	NA	0.6508507	NA
RCC1	NA	NA	-0.8188025	NA
RBM8A	NA	NA	-0.180555	NA
CLIC4	NA	NA	0.5237553	NA
ABCD3	NA	NA	0.7215039	NA
PPT1	NA	NA	-0.5754433	NA
SLC30A1	NA	NA	-0.2210519	NA
NENF	NA	NA	-0.1593723	NA
PI4KB	NA	NA	0.2878269	NA
PKN2	NA	NA	-0.4416148	NA
NOL9	NA	NA	-0.1528558	NA
DNAJC8	NA	NA	-0.06577299	NA
NDC1	NA	NA	-0.08088117	NA
DNAJB4	NA	NA	-0.1348431	NA
DBT	NA	NA	-0.3502384	NA
DIEXF	NA	NA	-1.00865	NA
TRAPPC3	NA	NA	-0.05473693	NA
GALNT2	NA	NA	-0.4865934	NA
ACADM	NA	NA	-0.004879596	NA
MRPS14	NA	NA	0.0908535	NA
ILF2	NA	NA	-0.3262989	NA
IPO13	NA	NA	-0.3804837	NA
GNPAT	NA	NA	0.1840207	NA
UBE4B	NA	NA	0.1926992	NA
RER1	NA	NA	0.1138339	NA
PRPF3	NA	NA	-0.466955	NA
DDX20	NA	NA	-0.01486422	NA
CAPZA1	NA	NA	0.3559555	NA
PFDN2	NA	NA	-0.4266118	NA
DHRS3	NA	NA	0.3840995	NA
DPH5	NA	NA	-1.143192	NA
DNAJC16	NA	NA	-0.6308177	NA
ATP1A1	NA	NA	0.400751	NA
EIF2B3	NA	NA	-0.4435363	NA
SH3GLB1	NA	NA	0.4230941	NA
RABGAP1L	NA	NA	0.4922242	NA
RASAL2	NA	NA	0.9191494	NA
YARS	NA	NA	-0.6429548	NA
PPIH	NA	NA	-0.1647668	NA
AMPD2	NA	NA	0.3646011	NA
AGO1	NA	NA	0.253074	NA
KHDRBS1	NA	NA	-0.3743555	NA
DR1	NA	NA	-0.1757454	NA
MAN1A2	NA	NA	0.2159121	NA
DUSP12	NA	NA	0.4646161	NA
ACBD3	NA	NA	0.97629	NA
PPIE	NA	NA	-0.5191423	NA
TMEM9	NA	NA	0.2616287	NA
EXOSC10	NA	NA	-0.4366662	NA
WDR3	NA	NA	-0.7567452	NA
NMNAT1	NA	NA	0.2051422	NA
EPHX1	NA	NA	1.914794	NA
GCLM	NA	NA	0.5964581	NA
GLUL	NA	NA	0.1629835	NA
ELOVL1	NA	NA	0.1784872	NA
TRIM33	NA	NA	-0.3367707	NA
SH3BGRL3	NA	NA	1.033863	NA
ACOT7	NA	NA	0.8841681	NA
HAX1	NA	NA	-0.0269693	NA
SFPQ	NA	NA	-0.0559062	NA
NES	NA	NA	-0.2501214	NA
LGALS8	NA	NA	0.6112669	NA
DFFA	NA	NA	-0.9508553	NA
PHGDH	NA	NA	0.3379965	NA
RTCA	NA	NA	-0.1045113	NA
HSD17B7	NA	NA	-0.2311424	NA
C1orf50	NA	NA	0.3309465	NA
WDR77	NA	NA	-0.4249975	NA
ATP2B4	NA	NA	-0.1732863	NA
PABPC4	NA	NA	-0.3900371	NA
EIF3I	NA	NA	0.1265764	NA
CPT2	NA	NA	-0.2580489	NA
EPRS	NA	NA	-0.1794983	NA
MTX1	NA	NA	0.1887488	NA
MRPL20	NA	NA	-0.2010517	NA
HDAC1	NA	NA	-0.2643738	NA
SFN	NA	NA	-0.04376486	NA
S100A11	NA	NA	0.626112	NA
STX6	NA	NA	0.0563729	NA
RPA2	NA	NA	0.2482048	NA
FHL3	NA	NA	-0.3257382	NA
MRPS21	NA	NA	-0.08381383	NA
PEA15	NA	NA	0.3059121	NA
PPP2R5A	NA	NA	0.6812243	NA
CKS1B	NA	NA	-0.4666958	NA
PITHD1	NA	NA	0.372725	NA
FNBP1L	NA	NA	0.4049264	NA
GNL2	NA	NA	-0.2248904	NA
ADPRHL2	NA	NA	0.1902988	NA
S100A13	NA	NA	0.2456257	NA
RAB13	NA	NA	0.5489298	NA
AK4	NA	NA	0.08596148	NA
C1orf123	NA	NA	-0.04269458	NA
DHCR24	NA	NA	-0.07448667	NA
CDC42	NA	NA	0.378328	NA
SDHC	NA	NA	0.4255182	NA
IARS2	NA	NA	-0.151939	NA
SF3B4	NA	NA	-0.3405686	NA
BSDC1	NA	NA	0.2190084	NA
PRPF38B	NA	NA	-0.3656219	NA
DAP3	NA	NA	-0.1752706	NA
NECAP2	NA	NA	0.20989	NA
PEF1	NA	NA	-0.05806737	NA
SETDB1	NA	NA	-0.3111557	NA
SNAPIN	NA	NA	-0.02421675	NA
TBCE	NA	NA	0.2072682	NA
TCEB3	NA	NA	0.0752882	NA
TARS2	NA	NA	-0.06405751	NA
PANK4	NA	NA	0.1330371	NA
RAP1A	NA	NA	-0.04768132	NA
TROVE2	NA	NA	-0.2085587	NA
ACTN2	NA	NA	0.05240351	NA
PTP4A2	NA	NA	0.7946831	NA
HDGF	NA	NA	-0.4960603	NA
EPHA2	NA	NA	0.1595	NA
EPHB2	NA	NA	0.1280294	NA
SHC1	NA	NA	0.4598512	NA
LMNA	NA	NA	0.6525977	NA
GBA	NA	NA	0.1000357	NA
PEX11B	NA	NA	0.4668179	NA
NCSTN	NA	NA	-0.2098619	NA
NUCKS1	NA	NA	-0.04810854	NA
PIP5K1A	NA	NA	-0.1521588	NA
LPGAT1	NA	NA	0.4567153	NA
BCL10	NA	NA	0.4390089	NA
PIGK	NA	NA	0.1940871	NA
MPZL1	NA	NA	0.6849887	NA
PSMD4	NA	NA	-0.04320817	NA
GTF2B	NA	NA	-0.6504309	NA
SYF2	NA	NA	0.05547326	NA
UBE2T	NA	NA	-0.09750518	NA
SSU72	NA	NA	-0.4386983	NA
RABIF	NA	NA	0.06915226	NA
PPCS	NA	NA	-0.1432043	NA
MGST3	NA	NA	0.2333167	NA
HEATR1	NA	NA	-0.7785559	NA
HSPG2	NA	NA	-0.55127	NA
UBQLN4	NA	NA	-0.2231549	NA
SLC16A1	NA	NA	-0.1994376	NA
OTUD7B	NA	NA	-0.1391136	NA
BCAS2	NA	NA	-0.05615255	NA
