gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	2.95221	3.16868	0.102084	0.7311
SAMD11	1.34166	1.73244	0.368785	0.7767
KLHL17	5.31401	5.0148	-0.0836079	0.73195
PLEKHN1	2.52451	2.94919	0.224313	0.4146
ISG15	15.737	17.2651	0.13369	0.6101
AGRN	134.713	117.32	-0.19944	0.3752
B3GALT6	15.7465	13.7708	-0.193424	0.37795
SCNN1D	0.971248	1.46157	0.589604	0.0648
PUSL1	12.7371	11.8913	-0.0991344	0.84015
GLTPD1	15.095	17.1625	0.185194	0.3945
LOC148413	7.29435	8.15924	0.161655	0.72095
ATAD3B	8.21512	7.81898	-0.0713017	0.77755
ATAD3A	17.7005	17.5936	-0.00874044	0.96935
MIB2	10.2604	11.7861	0.199999	0.3524
SKI	25.7165	29.3835	0.192316	0.3378
RER1	36.0019	36.6765	0.0267833	0.9082
TNFRSF14	5.81316	6.86186	0.239276	0.3488
FAM213B	12.723	13.4731	0.0826473	0.7247
PRDM16	4.3336	4.17108	-0.0551481	0.7993
ARHGEF16	1.0447	1.02146	-0.0324574	0.92185
TPRG1L	30.1087	30.0146	-0.00451616	0.9828
LOC388588	1.41678	0.920239	-0.622531	0.25345
DFFB	1.68148	1.73327	0.0437679	0.87715
KCNAB2	2.19732	3.28339	0.579445	0.15745
RNF207	3.30236	3.30918	0.00297836	0.9973
ZBTB48	3.57497	4.25799	0.25224	0.3264
PHF13	12.7056	11.5247	-0.140738	0.51135
THAP3	7.79232	8.7154	0.161514	0.79845
CAMTA1	29.1075	26.4997	-0.135415	0.5723
VAMP3	73.4327	70.5089	-0.0586178	0.77625
PER3	5.66042	7.27064	0.361174	0.10105
PARK7	206.53	195.98	-0.0756424	0.70945
SLC45A1	1.31154	1.14485	-0.196102	0.5592
ENO1-AS1	0.5063	0.208412	-1.28056	0.035
H6PD	9.23389	7.93145	-0.219354	0.2861
SPSB1	9.70127	7.07234	-0.455985	0.04275
SLC25A33	5.68323	5.13079	-0.14753	0.575
TMEM201	5.93924	5.75006	-0.0467011	0.84885
PIK3CD	8.04714	5.8381	-0.462978	0.52245
NMNAT1	3.85241	3.76782	-0.0320299	0.89405
UBE4B	19.8177	16.1515	-0.29512	0.14555
KIF1B	11.6606	10.6752	-0.127378	0.5434
PGD	129.21	119.466	-0.113107	0.5763
APITD1	10.9776	12.37	0.172288	0.47205
APITD1-CORT	10.9776	12.37	0.172288	0.47205
CORT	10.9776	12.37	0.172288	0.47205
PEX14	13.8846	14.3409	0.0466473	0.8346
TARDBP	34.697	31.6061	-0.134608	0.5135
UBIAD1	5.11113	5.50709	0.107647	0.64575
FBXO44	4.944	3.15473	-0.64816	0.01325
FBXO6	1.68617	1.35146	-0.319233	0.35025
C1orf187	0.68327	0.223052	-1.61508	0.00325
AGTRAP	24.5123	22.7077	-0.110325	0.6303
CLCN6	5.25767	4.228	-0.31445	0.19635
PLOD1	134.016	111.757	-0.262045	0.20985
MFN2	28.5732	29.0808	0.0254044	0.9012
MIIP	5.25549	6.45557	0.29672	0.2548
TNFRSF1B	1.6611	3.07917	0.8904	0.0123
VPS13D	4.47766	4.17283	-0.10172	0.6227
PRDM2	4.49267	4.66069	0.0529701	0.81385
KAZN	1.93361	3.82843	0.985458	0.00035
TMEM51	4.68533	4.13782	-0.179281	0.5059
EFHD2	25.2747	23.0311	-0.134116	0.5394
DNAJC16	6.62452	6.67131	0.0101546	0.96055
DDI2	6.69238	5.84429	-0.195492	0.45675
RSC1A1	6.69238	5.84429	-0.195492	0.45675
PLEKHM2	37.7469	39.2964	0.0580379	0.78295
FBLIM1	64.1987	56.0323	-0.196286	0.3631
SPEN	8.01846	7.5508	-0.0866952	0.67605
C1orf144	66.3075	66.6917	0.0083354	0.9684
NECAP2	37.6879	42.0737	0.15882	0.43585
CROCC	3.08174	3.76053	0.287192	0.20605
PADI1	0.758489	0.732038	-0.0512107	0.8782
PADI3	0.645429	0.2423	-1.41346	0.0027
ARHGEF10L	11.3994	8.26273	-0.464267	0.03215
MRTO4	22.2244	19.5497	-0.184994	0.4094
PQLC2	8.94535	8.62072	-0.0533287	0.8221
C1orf151-NBL1	22.7576	23.0253	0.0168663	0.93825
MINOS1	22.7576	23.0253	0.0168663	0.93825
NBL1	22.7576	23.0253	0.0168663	0.93825
