GENENAME	NORMAL	ABNORMAL	LOG2FOLD	PVALUE
0610007N19RIK	25.2991	25.3648	0.00374292	0.96815
0610007P14RIK	75.3378	83.0237	0.14015	0.1083
0610009B22RIK	18.2002	18.2729	0.00574559	0.94465
0610009D07RIK	51.5674	48.6369	-0.0844073	0.35145
0610009L18RIK	0.807309	1.04449	0.371607	0.40775
0610009O20RIK	12.9943	12.6409	-0.0397751	0.67205
0610010F05RIK	8.26616	7.29383	-0.180541	0.05555
0610010K14RIK	32.7551	29.7203	-0.140271	0.16015
0610011F06RIK	9.64452	10.7955	0.162651	0.104
0610012G03RIK	17.205	19.5696	0.185786	0.0522
0610030E20RIK	4.43721	3.97767	-0.157728	0.11205
0610031J06RIK	106.141	134.103	0.33736	0.0001
0610037L13RIK	17.4943	16.1507	-0.115291	0.2388
0610038B21RIK	1.75852	1.45614	-0.272209	0.5997
0610040B10RIK	1.62273	1.7805	0.133859	0.73035
1110001A16RIK	11.863	12.1305	0.0321718	0.8778
1110001J03RIK	12.7308	12.3784	-0.0404942	0.77385
1110002L01RIK	5.48451	4.80068	-0.192122	0.1998
1110004E09RIK	12.6889	20.7281	0.708023	5E-05
1110004F10RIK	81.0338	80.4268	-0.0108468	0.90125
1110006O24RIK	1.06026	1.19918	0.17764	0.57625
1110007C09RIK	25.32	26.5068	0.0660832	0.51135
1110008F13RIK	38.7513	42.6459	0.138165	0.3096
1110008J03RIK	6.44486	7.33427	0.186504	0.0237
1110008L16RIK	3.1278	3.01801	-0.0515499	0.8998
1110008P14RIK	28.621	29.5451	0.0458454	0.6125
1110012L19RIK	21.5886	21.404	-0.0123929	0.90105
1110018G07RIK	9.5001	9.69624	0.0294834	0.7505
1110019D14RIK	2.61883	2.80402	0.0985741	0.4695
1110032A03RIK	6.14969	5.80199	-0.0839656	0.32025
1110034G24RIK	2.45255	2.1562	-0.185789	0.21655
1110035M17RIK	0.823907	0.826405	0.0043683	0.9456
1110037F02RIK	15.3448	15.0969	-0.023497	0.7828
1110038B12RIK	153.863	175.335	0.188464	0.04305
1110038F14RIK	26.7634	18.0293	-0.569917	5E-05
1110046J04RIK	5.89974	5.2859	-0.158503	0.8689
1110051M20RIK	12.0607	11.5383	-0.0638842	0.5139
1110054M08RIK	5.03498	4.92577	-0.0316371	0.9657
1110057K04RIK	19.3098	20.6534	0.0970436	0.302
1110058L19RIK	23.5399	20.163	-0.223393	0.00735
1110059E24RIK	22.7326	21.8434	-0.0575637	0.5419
1110059G10RIK	4.23401	3.97052	-0.0926985	0.28075
1110059M19RIK	2.81463	6.97309	1.30885	5E-05
1110065P20RIK	30.5421	30.9114	0.0173424	0.9112
1190002F15RIK	10.6593	9.88559	-0.108719	0.38565
1190002N15RIK	7.33683	10.0314	0.4513	5E-05
1190005I06RIK	2.97478	3.09028	0.0549522	0.78555
1190007I07RIK	2.61011	2.45501	-0.0883824	0.70475
1200011I18RIK	9.24739	8.57948	-0.108156	0.23125
1200014J11RIK	9.09372	8.90927	-0.0295633	0.7416
1300002E11RIK	6.17493	7.34428	0.250197	0.1657
1300018J18RIK	7.5909	7.71095	0.0226381	0.89135
1500004A13RIK	0.660374	0.649195	-0.0246328	0.9499
1500009L16RIK	8.52773	9.15353	0.102166	0.2398
1500011B03RIK	8.27896	7.72	-0.10085	0.46165
1500011K16RIK	8.91304	8.71587	-0.032273	0.764
1500012F01RIK	80.258	77.9281	-0.0425028	0.7431
1500015A07RIK	1.11648	0.761149	-0.552711	0.00845
1500015O10RIK	4.57058	2.22293	-1.03992	5E-05
1500017E21RIK	1.05657	1.03365	-0.0316508	0.8863
1500032L24RIK	123.023	132.459	0.106608	0.23465
1600002H07RIK	5.22601	4.78447	-0.12735	0.1184
1600002K03RIK	11.0138	11.7716	0.0960035	0.9705
1600012H06RIK	20.2952	19.3361	-0.0698436	0.6372
1600014C10RIK	9.31085	9.77665	0.0704261	0.4495
1600020E01RIK	3.67156	4.58099	0.319263	0.1157
1700003E16RIK	0.57826	0.634687	0.134328	0.57405
1700003F12RIK	0.565596	0.671294	0.247174	0.64155
1700003M07RIK	0.921851	0.830005	-0.151413	0.44605
1700007K13RIK	5.87234	4.54306	-0.370269	0.0111
1700007L15RIK	0.843691	1.04465	0.308237	0.38695
1700008J07RIK	1.16938	1.3262	0.181563	0.23995
1700009N14RIK	0.371729	0.556589	0.582362	0.16335
1700009P17RIK	1.06342	1.22096	0.199299	0.44295
1700010I14RIK	1.1199	1.51275	0.433813	0.014
1700010K23RIK	2.41527	4.87651	1.01367	0.0167
1700011J10RIK	2.52576	3.22108	0.350827	0.58945
1700012B15RIK	3.12669	3.46338	0.14754	0.83555
1700013G23RIK	0.706102	0.554821	-0.347855	0.54755
1700017B05RIK	12.138	12.468	0.0387018	0.67195
1700018L02RIK	1.18369	2.36589	0.999094	0.14135
1700019G17RIK	0.26519	0.506849	0.934531	0.00205
1700020I14RIK	28.4673	24.3216	-0.227071	0.01565
1700020L24RIK	0.771014	0.969799	0.330928	0.29955
1700021F05RIK	26.1363	26.3782	0.0132901	0.8944
1700021K19RIK	8.87337	9.00174	0.0207206	0.81425
1700025G04RIK	2.93659	3.24697	0.144952	0.12525
1700026L06RIK	1.02196	0.973185	-0.0705505	0.84785
1700030C10RIK	0.767831	0.218213	-1.81505	0.00035
1700030K09RIK	4.65707	3.94019	-0.241155	0.3607
1700034P13RIK	2.62627	3.43193	0.386006	0.258
1700037C18RIK	1.94062	1.89684	-0.0329147	0.8694
1700037H04RIK	21.3721	23.5082	0.137432	0.71885
1700048O20RIK	0.983326	0.569713	-0.787434	0.00165
1700049G17RIK	1.43605	1.38361	-0.0536642	0.5769
1700052K11RIK	5.53406	5.29704	-0.0631505	0.40535
1700052N19RIK	9.08511	9.3	0.0337263	0.7299
1700066J24RIK	3.07924	2.24282	-0.457258	0.0561
1700066M21RIK	5.35811	4.71004	-0.185986	0.05125
1700071M16RIK	0.420275	0.549564	0.386956	0.68715
1700086O06RIK	0.725175	0.717113	-0.0161301	0.98055
1700088E04RIK	4.02752	4.93805	0.29405	0.3246
1700094D03RIK	0.717017	0.679556	-0.0774133	0.66495
1700096K18RIK	1.00662	0.959977	-0.0684449	0.7722
1700112E06RIK	0.406849	0.982691	1.27224	0.00735
1700113A16RIK	3.15963	3.16673	0.00323738	0.97875
1700123M08RIK	0.625875	0.70792	0.177711	0.5971
1700123O20RIK	23.406	25.1756	0.105145	0.5811
1810009A15RIK	81.1617	86.6811	0.0949179	0.3035
1810010H24RIK	0.565319	0.526874	-0.101606	0.773
1810011O10RIK	5.75172	5.1382	-0.16273	0.1122
1810013D10RIK	25.9108	26.0587	0.0082117	0.93425
1810013L24RIK	16.2319	16.31	0.00692509	0.9424
1810014B01RIK	0.662478	0.662715	0.000516775	0.96485
1810021B22RIK	0.925248	0.796037	-0.217004	0.59905
1810022K09RIK	170.741	165.905	-0.0414462	0.69585
1810026B05RIK	1.93654	1.36598	-0.503549	0.1435
1810026J23RIK	15.9298	16.3282	0.0356368	0.8385
1810030O07RIK	20.7321	19.7492	-0.0700729	0.4425
1810032O08RIK	6.65667	5.69771	-0.224417	0.08025
1810034E14RIK	1.5973	1.08318	-0.560358	0.12155
1810037I17RIK	41.2142	35.7681	-0.204467	0.02795
1810043G02RIK	8.58829	7.66	-0.165026	0.042
1810043H04RIK	27.2222	27.6104	0.020428	0.8189
1810044D09RIK	2.31937	1.73688	-0.417236	0.19705
1810055G02RIK	27.6108	30.2549	0.131938	0.14215
1810058I24RIK	49.2641	55.6754	0.176505	0.0546
1810062G17RIK	1.01625	0.96353	-0.076853	0.7944
2010001M06RIK	0.49724	1.37196	1.46423	0.1319
2010003O02RIK	10.2129	8.47752	-0.268676	0.70195
2010012O05RIK	4.74773	4.66413	-0.0256284	0.7537
2010015L04RIK	2.07469	2.22697	0.102182	0.38215
2010107E04RIK	204.014	190.4	-0.0996353	0.2814
2010107G23RIK	1.02554	1.70929	0.737014	0.00025
2010111I01RIK	5.9919	7.24763	0.274495	0.00865
2010204K13RIK	8.04764	6.33675	-0.344823	0.03085
2010315B03RIK	4.40118	4.21791	-0.061362	0.42415
2010320M18RIK	11.9802	13.7493	0.198706	0.0355
2200002D01RIK	2.844	1.27372	-1.15887	0.1985
2210013O21RIK	32.6036	32.6028	-3.50741E-05	0.9957
2210015D19RIK	3.43206	3.42611	-0.00250211	0.9942
2210016F16RIK	14.1144	14.8816	0.0763643	0.409
2210016L21RIK	30.49	30.2193	-0.0128677	0.889
2210018M11RIK	9.21087	8.38818	-0.13498	0.144
2210404J11RIK	3.42333	3.24098	-0.0789721	0.50055
2210404O07RIK	0.858485	0.279465	-1.61912	0.04985
2210404O09RIK	3.51251	3.73792	0.0897344	0.3344
2210408F21RIK	4.93946	5.39344	0.126852	0.44455
2210408I21RIK	1.9965	2.01525	0.0134854	0.939
2210417K05RIK	1.09212	1.66552	0.608835	0.6952
2300009A05RIK	5.71956	4.27566	-0.419758	0.02175
2310001H17RIK	0.984745	0.826596	-0.252569	0.4984
2310003H01RIK	3.6098	3.53044	-0.0320708	0.6752
2310008H04RIK	9.94394	10.5316	0.0828366	0.6154
2310008H09RIK	12.0137	13.1972	0.13555	0.1493
2310009A05RIK	17.1178	15.9405	-0.102801	0.35685
2310009B15RIK	18.7544	16.8621	-0.153445	0.111
2310010J17RIK	1.87588	1.67764	-0.161134	0.7057
2310011J03RIK	19.5333	20.9728	0.102588	0.9153
2310015A10RIK	0.809872	0.926969	0.194826	0.1237
2310022A10RIK	7.27939	6.43449	-0.177991	0.08875
2310022B05RIK	62.4281	33.8157	-0.884503	5E-05
2310030G06RIK	4.8579	4.68296	-0.0529144	0.6357
2310033P09RIK	6.54608	8.00127	0.289598	0.00235
2310035C23RIK	8.21174	7.84017	-0.0668014	0.4639
2310036O22RIK	105.13	113.639	0.112283	0.19885
2310039H08RIK	19.3884	16.9723	-0.19201	0.0188
2310040G24RIK	0.50806	0.30276	-0.746824	0.2506
2310042D19RIK	0.2939	0.618881	1.07434	5E-05
2310044G17RIK	5.55	5.30965	-0.0638719	0.51765
2310045N01RIK	35.9674	39.3172	0.12847	0.1949
2310047M10RIK	10.2324	10.879	0.0884012	0.3692
2310057M21RIK	5.02996	5.56384	0.145535	0.06285
2310061I04RIK	12.495	12.3521	-0.0165926	0.8489
2310061J03RIK	1.67399	1.70844	0.0293898	0.9418
2310067B10RIK	5.7859	5.44686	-0.087115	0.3632
2310068J16RIK	0.559817	0.439259	-0.349883	0.8025
2410002F23RIK	24.0827	22.1533	-0.120477	0.1811
2410004B18RIK	14.7485	14.1402	-0.0607617	0.4138
2410004N09RIK	18.171	25.0889	0.465406	5E-05
2410006H16RIK	287.128	300.813	0.0671735	0.4494
2410015M20RIK	67.5241	70.4986	0.0621918	0.50275
2410016O06RIK	4.6446	4.86636	0.067289	0.4005
2410018L13RIK	2.94908	1.73446	-0.765782	5E-05
2410018M08RIK	2.60405	2.85182	0.131129	0.19315
2410066E13RIK	0.692689	0.898346	0.375064	0.1071
2410089E03RIK	4.83909	4.39286	-0.139573	0.12035
2410127L17RIK	15.354	15.5804	0.0211148	0.8213
2410131K14RIK	7.58606	9.3368	0.299577	0.00215
2500004C02RIK	1.03101	0.859314	-0.262794	0.19495
2510002D24RIK	5.32682	4.81008	-0.147214	0.1816
2510003E04RIK	21.0914	20.6112	-0.0332208	0.71175
2510009E07RIK	6.80462	6.88221	0.0163578	0.8577
2510039O18RIK	21.8277	22.7333	0.0586452	0.5164
2610001J05RIK	27.4565	32.942	0.262779	0.00425
2610002J02RIK	15.5673	14.3258	-0.1199	0.26025
2610002M06RIK	5.19227	5.60874	0.111312	0.23205
2610005L07RIK	16.3448	14.3812	-0.184653	0.0385
2610008E11RIK	11.851	10.0309	-0.240559	0.0087
2610015P09RIK	2.21806	2.164	-0.0355952	0.69955
2610019E17RIK	16.5061	18.399	0.156632	0.36585
2610019F03RIK	1.41109	1.58422	0.166954	0.2289
2610020H08RIK	1.68485	1.92685	0.193625	0.18015
2610034B18RIK	24.917	21.1143	-0.238909	0.00855
2610035D17RIK	0.919394	0.429811	-1.09698	0.00035
2610044O15RIK8	5.79557	4.30716	-0.428215	5E-05
2610203C20RIK	19.5936	18.5404	-0.0797044	0.3808
2610203C22RIK	0.72797	0.519887	-0.485681	0.18785
2610301B20RIK	18.0614	18.9165	0.0667334	0.47025
2610301G19RIK	16.3513	16.5732	0.0194463	0.86735
2610305D13RIK	9.43226	9.36891	-0.0097224	0.9207
2610306M01RIK	2.98333	3.34725	0.166051	0.28655
2610307P16RIK	1.31765	0.578937	-1.18649	5E-05
2610318N02RIK	1.10994	1.27892	0.20444	0.3602
2610507B11RIK	30.7063	36.133	0.23478	0.0056
2610507I01RIK	2.08378	2.07408	-0.00673069	0.9555
2610524H06RIK	13.196	12.8102	-0.0428142	0.5976
