GENE	NORMAL	ABNORMAL	LOG2FOLD	PVALUE
ATAD3B	3.457165031	2.405176746	-0.523446559	0
MRPL20	5.787801027	6.242707755	0.109156603	0
ATAD3A	6.921784208	4.76186823	-0.539616266	0
ENO1	96.58527579	61.5133356	-0.650904061	0
SLC2A5	0.004763301	0.003347666	-0.508806139	0
SLC25A33	0.126338909	0.13130742	0.055649425	0
KIF1B	0.250741365	0.37527132	0.581734015	0
MFN2	5.324495418	4.094125301	-0.379089556	0
CASP9	0.15453777	0.154396036	-0.001323767	0
SDHB	0.722402593	1.05696795	0.549056655	0
PINK1	6.596886207	7.111738706	0.108417099	0
ATPIF1	1.597920807	2.611512588	0.708689748	0
FABP3	0.461526494	0.701526858	0.60408487	0
MRPS15	2.538257556	3.465396403	0.449181924	0
YRDC	7.724319319	5.975937345	-0.370242783	0
NDUFS5	6.100188064	8.128879262	0.41420274	0
TRIT1	0.067455025	0.202532002	1.586152059	0
SLC2A1	5.247594381	3.309573903	-0.665010723	0
UROD	20.11953868	16.58775794	-0.278478326	0
MUTYH	0.727982713	0.657227996	-0.147510256	0
UQCRH	1.627682366	2.75668117	0.760113227	0
ATPAF1	0.323747709	0.521278714	0.687184967	0
CPT2	0.61291798	0.737039798	0.266048497	0
MRPL37	2.545773306	1.906686165	-0.417036557	0
PARS2	0.69105637	0.483962766	-0.51390734	0
OMA1	0.015318788	0.048540682	1.663892207	0
AK4	0.053036517	0.116943222	1.140750312	0
ACADM	0.103675955	0.213830715	1.044387758	0
SH3GLB1	0.722254207	1.756309295	1.281968325	0
GCLM	0.51634414	0.647381526	0.326283263	0
ATP5F1	2.225906516	4.323705467	0.957875246	0
WARS2	0.053859625	0.05997355	0.155122198	0
TARS2	0.572033582	0.674811086	0.23838383	0
MCL1	17.94833563	29.31401748	0.707740635	0
MRPL9	4.741792992	6.244369194	0.397123156	0
SLC27A3	1.326102496	1.33304752	0.007535922	0
SHC1	41.9760825	35.63420698	-0.236304712	0
MSTO1	0.980352119	1.01539306	0.050666376	0
DAP3	0.666468329	0.87117384	0.386424314	0
MRPL24	7.688256702	6.821096737	-0.172652784	0
PPOX	3.824189361	3.522824433	-0.118421385	0
NDUFS2	4.498986399	4.165738589	-0.111027696	0
TOMM40L	2.78556773	2.238282444	-0.315579296	0
SDHC	0.823600036	0.939520279	0.189980408	0
DARS2	0.474096591	0.471376154	-0.008302241	0
MRPS14	0.552453502	0.978776142	0.825125892	0
RNASEL	0.197039375	0.48289411	1.293222912	0
GLRX2	0.330508295	0.71963441	1.122577692	0
TIMM17A	1.38730853	3.349239602	1.271544918	0
IARS2	0.695800283	1.202718408	0.789553734	0
MRPL55	12.42131954	9.361794607	-0.407961423	0
IBA57	0.535728834	0.475312181	-0.172627572	0
TOMM20	2.128567035	3.954200467	0.893503488	0
FH	1.633218914	2.504126128	0.616589049	0
COX20	0.484172145	1.740833812	1.846186496	0
TFB2M	0.157610748	0.360352941	1.193044698	0
PFKP	5.011509255	2.631872342	-0.929155634	0
ATP5C1	1.650530195	4.001129828	1.27747791	0
YME1L1	0.748386804	1.927375919	1.364781961	0
MTPAP	0.075673402	0.14228205	0.910895461	0
KIF5B	1.101315281	3.037048308	1.463442319	0
TFAM	0.186784651	0.473965668	1.343406651	0
CDK1	0.405489792	0.846343877	1.061578368	0
HK1	1.85854864	1.19640779	-0.635467236	0
MICU1	0.13258495	0.165305107	0.318214274	0
MCU	0.061167921	0.176259023	1.526849959	0
MRPS16	8.300323793	7.687747192	-0.110606722	0
VDAC2	0.819573877	0.944402528	0.204527903	0
PPIF	17.98931016	11.51895514	-0.643130006	0
5-Mar	0.277018506	0.442343414	0.675184487	0
PGAM1	18.18737121	17.34360245	-0.068533439	0
MMS19	1.859226133	1.790296415	-0.054503781	0
SLC25A28	1.731622389	1.713551884	-0.015134484	0
COX15	0.751676072	1.022071834	0.443313612	0
NDUFB8	2.290898801	2.654389831	0.212466534	0
MRPL43	3.081750261	2.844904412	-0.115369774	0
C10orf2	1.583406019	1.01602661	-0.640093054	0
ACSL5	0.00492925	0.010346827	1.069748442	0
CASP7	0.135902911	0.244759831	0.848790453	0
PRDX3	3.513217697	6.918780627	0.977724822	0
ACADSB	0.048747344	0.119249545	1.290588222	0
UROS	1.281587118	1.374772187	0.101261019	0
BNIP3	1.047712006	2.065860486	0.979500623	0
ECHS1	8.146475436	7.230727573	-0.172035192	0
MRPL23	1.464053616	1.075291696	-0.445240313	0
MRPL17	17.30440971	17.84080325	0.044040843	0
LDHA	37.87470233	58.34878262	0.623468006	0
IMMP1L	0.024283402	0.045918081	0.919091774	0
EIF3M	1.051551198	2.3418751	1.15514504	0
PDHX	0.089196285	0.168272881	0.915747156	0
AMBRA1	1.223203724	1.012996362	-0.272035711	0
NDUFS3	3.517987626	3.618096158	0.040480343	0
PTPMT1	3.812301121	4.054781253	0.088962009	0
TIMM10	7.161559153	5.723719489	-0.323320743	0
MRPL16	3.131561161	3.905867199	0.318760842	0
SDHAF2	0.942991053	1.134866683	0.267206841	0
COX8A	68.36443237	53.18143093	-0.362323341	0
