gene	value_1	value_2	log2(fold_change)	p_value
LOC100132062,LOC100133331	0.170852	0.182356	0.0940091	0.9592
LOC643837	6.7453	7.29412	0.112851	0.9323
SAMD11	0.318434	0.132047	-1.26995	0.29505
KLHL17	2.3977	2.58302	0.107404	0.94135
PLEKHN1	1.61439	4.37351	1.43781	0.33475
ISG15	85.1342	366.649	2.10659	0.056
AGRN	42.9769	49.4573	0.202621	0.85365
LOC254099	0.302898	0.0158315	-4.25797	0.28
B3GALT6	12.0027	15.9333	0.408692	0.71625
SCNN1D	1.41039	0.469489	-1.58693	0.34405
PUSL1	4.14021	20.4043	2.3011	0.48745
GLTPD1	14.0829	25.1666	0.837568	0.4493
TAS1R3	0.176661	0.859332	2.28223	0.23925
LOC148413	9.10109	7.66794	-0.247199	0.91565
VWA1	13.9844	42.2813	1.5962	0.1365
ATAD3C	3.09769	2.24197	-0.466426	0.7296
ATAD3B	2.84718	4.41867	0.634079	0.6574
ATAD3A	4.45457	16.1976	1.86242	0.1367
MIB2	7.50556	6.19646	-0.276517	0.8203
CALML6	0.31463	0.164146	-0.938676	0.63735
GABRD	0.167754	0.61976	1.88537	0.3283
PRKCZ	8.19936	10.2562	0.322908	0.83065
SKI	31.646	27.258	-0.215344	0.83935
RER1	34.1462	46.8218	0.455454	0.70305
PLCH2	3.77438	0.618063	-2.61042	0.08445
TNFRSF14	30.2023	24.2355	-0.317535	0.76045
FAM213B	12.3475	11.7462	-0.0720278	0.9498
PRDM16	0.519471	0.0646257	-3.00686	0.09645
ARHGEF16	5.35658	6.08725	0.18448	0.8754
TPRG1L	43.7729	35.7315	-0.292844	0.77575
TP73	1.49019	0.286591	-2.37842	0.57685
LOC388588	2.52319	1.98221	-0.34814	0.8466
DFFB	2.31455	2.19305	-0.0777906	0.9585
LOC100133612	0.230372	0.0622857	-1.88699	0.38275
AJAP1	0.411748	0.189689	-1.11813	0.532
KCNAB2	5.15881	7.59561	0.558128	0.67095
RNF207	2.96156	0.838052	-1.82125	0.66195
ESPN	3.47238	3.83078	0.141712	0.9091
ZBTB48	6.16491	3.70389	-0.735039	0.5692
PHF13	14.1317	14.503	0.0374207	0.9714
THAP3	10.644	8.12251	-0.390041	0.88395
CAMTA1	40.0841	57.558	0.521986	0.6908
VAMP3	57.0638	47.1494	-0.275337	0.7891
PER3	16.3852	4.55749	-1.84609	0.09545
PARK7	195.926	222.225	0.18171	0.867
SLC45A1	0.895616	0.357264	-1.32589	0.45575
ENO1-AS1	0.721095	0.208116	-1.7928	0.01305
CA6	0.267045	0.0274357	-3.28295	0.25185
H6PD	22.863	14.2328	-0.68379	0.52565
SPSB1	7.46529	21.723	1.54096	0.1677
SLC25A33	11.4146	12.8213	0.167654	0.8907
TMEM201	4.55564	7.20237	0.66082	0.5768
PIK3CD	6.39669	4.87708	-0.391307	0.9325
NMNAT1	3.57977	1.7285	-1.05035	0.4136
RBP7	64.3182	44.6059	-0.52799	0.61695
UBE4B	13.0472	10.9823	-0.248559	0.81015
KIF1B	9.48401	9.58418	0.0151584	0.98905
PGD	48.8155	104.678	1.10054	0.3083
APITD1,APITD1-CORT,CORT	6.04022	9.92157	0.715967	0.5814
PEX14	12.0903	11.7523	-0.0409094	0.9701
TARDBP	35.4138	42.2874	0.255916	0.8096
UBIAD1	7.98011	7.86193	-0.0215251	0.9839
FBXO44	8.64839	5.48895	-0.655902	0.68475
FBXO6	8.51082	21.7968	1.35675	0.25835
AGTRAP	29.8589	81.2156	1.44359	0.18335
CLCN6	6.5417	2.36336	-1.46883	0.2075
PLOD1	31.9972	192.504	2.58887	0.03555
MFN2	28.8221	53.796	0.900322	0.4102
MIIP	7.84496	26.3903	1.75017	0.14595
TNFRSF8	1.37862	0.873528	-0.658302	0.6817
TNFRSF1B	16.7364	12.6586	-0.402878	0.69445
VPS13D	8.11985	3.88995	-1.0617	0.31835
