gene	value_1	value_2	log2(fold_change)	p_value
LOC100132062,LOC100133331	0.224827	0.248485	0.144345	0.92245
LOC643837	5.26525	7.26497	0.464454	0.6072
SAMD11	0.0821836	7.20071	6.45315	0.09865
KLHL17	1.10491	2.42475	1.13391	0.3366
PLEKHN1	1.49469	2.8893	0.950869	0.38175
ISG15	11.9721	44.1039	1.88123	0.04505
AGRN	67.9819	54.9021	-0.308289	0.6937
LOC254099	0.134574	0.600028	2.15662	0.2547
B3GALT6	18.8545	25.2348	0.420506	0.5554
SCNN1D	0.974588	1.30848	0.425026	0.71865
PUSL1	7.32455	14.7449	1.0094	0.6837
GLTPD1	19.8751	48.3078	1.2813	0.07295
TAS1R3	0.139602	0.602586	2.10984	0.2215
LOC148413	9.54677	15.4124	0.691006	0.6711
VWA1	27.4618	62.7681	1.19261	0.10055
ATAD3C	3.39938	1.79721	-0.919512	0.3162
ATAD3B	4.4556	4.28109	-0.057641	0.95015
ATAD3A	8.66654	8.58918	-0.0129344	0.98695
MIB2	10.0897	11.4337	0.180406	0.8132
MMP23B	0.0288254	1.80896	5.97168	0.17535
GABRD	0.227309	1.91449	3.07424	0.0654
PRKCZ	9.95102	8.28167	-0.264923	0.82645
SKI	44.8871	31.2925	-0.520482	0.4773
RER1	31.6392	60.8632	0.943858	0.2725
PLCH2	9.75602	3.04546	-1.67963	0.0413
TNFRSF14	27.0815	37.9725	0.487645	0.48195
FAM213B	15.1853	28.0174	0.88365	0.26605
PRDM16	0.260079	0.0946906	-1.45766	0.26415
ARHGEF16	4.19356	8.93811	1.09179	0.187
TPRG1L	52.602	38.9828	-0.43228	0.5445
TP73	6.73699	1.41976	-2.24646	0.1451
LOC388588	5.73606	30.1071	2.39197	0.03665
DFFB	2.0396	1.61003	-0.341197	0.73315
AJAP1	0.827009	0.24443	-1.75848	0.19125
KCNAB2	3.5107	3.34686	-0.0689494	0.9497
RNF207	2.08266	2.05739	-0.0176127	0.99275
ESPN	3.25342	19.3589	2.57297	0.00415
ZBTB48	7.58026	8.57241	0.177455	0.81855
PHF13	16.5708	12.5841	-0.39705	0.56585
THAP3	14.1689	16.3972	0.210716	0.8835
CAMTA1	60.2317	70.7616	0.232443	0.78375
VAMP3	48.1278	34.3383	-0.487053	0.49305
PER3	4.93069	4.13677	-0.253285	0.72235
PARK7	227.056	461.921	1.0246	0.19215
SLC45A1	1.04214	0.914908	-0.18785	0.8846
ENO1-AS1	1.09774	0.261516	-2.06957	0.01885
H6PD	14.4212	12.4924	-0.207138	0.7762
SPSB1	6.70299	12.4936	0.898315	0.23355
SLC25A33	8.27853	10.1703	0.296912	0.7212
TMEM201	8.20061	5.94768	-0.463405	0.54385
PIK3CD	5.38397	2.88681	-0.899195	0.8569
NMNAT1	2.42917	1.93017	-0.331739	0.70265
RBP7	35.0926	28.1681	-0.317104	0.66935
UBE4B	13.7886	7.94999	-0.794449	0.2517
KIF1B	9.07639	3.8709	-1.22945	0.08555
PGD	56.9128	63.777	0.164284	0.8187
APITD1,APITD1-CORT,CORT	5.19725	8.96084	0.785886	0.3652
PEX14	17.3525	19.3967	0.160665	0.82545
TARDBP	34.3983	29.3139	-0.230752	0.7522
ANGPTL7	11.3476	0.984045	-3.52751	0.2738
UBIAD1	9.99086	10.0806	0.0128973	0.98605
PTCHD2	0.0194819	0.434148	4.47798	0.1657
FBXO44	9.01479	8.53843	-0.0783227	0.95445
FBXO6	6.05729	22.2227	1.87529	0.02895
AGTRAP	39.7056	98.7862	1.31497	0.0685
CLCN6	5.0765	3.33975	-0.604093	0.4434
PLOD1	39.1171	53.3736	0.448326	0.52755
MFN2	29.9307	29.3608	-0.0277328	0.9692
MIIP	9.86737	14.6986	0.57494	0.4693
TNFRSF8	0.925023	0.695224	-0.412013	0.72635
TNFRSF1B	11.2309	8.39298	-0.420224	0.55515
VPS13D	5.51317	4.35233	-0.341095	0.6315
PDPN	20.9391	8.01153	-1.38605	0.0557
PRDM2	13.064	10.7256	-0.284531	0.70515
KAZN	11.4231	15.394	0.43042	0.56715
TMEM51	7.92203	15.8221	0.997996	0.19205
FHAD1	0.14197	0.367078	1.3705	0.28315
EFHD2	20.2247	38.9538	0.945649	0.1814
DNAJC16	5.6519	8.69429	0.621332	0.37915
DDI2,RSC1A1	3.84145	3.42478	-0.16564	0.8482
PLEKHM2	17.5732	18.9911	0.111945	0.86915
SLC25A34	0.924691	0.674876	-0.45435	0.70905
FBLIM1	26.2756	30.655	0.222399	0.74635
SPEN	11.2252	6.87548	-0.707208	0.3281
C1orf64	15.7111	84.1957	2.42196	0.0046
CLCNKA	0.344987	0.209342	-0.72068	0.6235
CLCNKB	0.620126	0.151378	-2.03441	0.18625
C1orf144	42.196	36.3049	-0.216941	0.75945
NECAP2	31.5792	28.0891	-0.168966	0.81175
MST1P2	1.52564	1.16018	-0.395066	0.7308
CROCC	6.03243	8.0207	0.410988	0.5733
PADI3	0.404554	0.0106156	-5.25207	0.23955
ARHGEF10L	15.1764	11.0472	-0.458145	0.50915
IGSF21	6.62838	38.6933	2.54535	0.0039
KLHDC7A	2.80838	7.39807	1.39741	0.07305
MRTO4	19.8944	17.7849	-0.161711	0.8183
PQLC2	6.36402	12.5053	0.974527	0.2529
C1orf151-NBL1,MINOS1,NBL1	119.473	121.621	0.0257162	0.9754
OTUD3	3.70733	1.73652	-1.09418	0.1617
PLA2G5	0.365021	0.806627	1.14392	0.39765
UBXN10	4.66889	9.44675	1.01674	0.18775
FAM43B	0.123946	2.59608	4.38855	0.05585
CDA	0.730364	7.38047	3.33702	0.019
PINK1	43.2965	36.9623	-0.228194	0.74035
NBPF3	4.08651	3.72108	-0.135148	0.8602
ALPL	30.1802	14.1263	-1.09521	0.1309
LINC00339	19.2907	19.4838	0.014365	0.9828
CDC42	120.128	166.221	0.468533	0.56845
ZBTB40	4.8215	3.30157	-0.54633	0.43485
C1QA	45.0553	54.6914	0.279616	0.6887
C1QC	51.8448	54.024	0.0594015	0.93045
C1QB	56.8761	47.0951	-0.272245	0.69975
EPHB2	0.500433	1.29659	1.37348	0.20535
KDM1A	28.4576	23.2932	-0.288907	0.67415
C1orf213	2.50771	2.51982	0.00695145	0.99425
RPL11	3009.96	2545.77	-0.241639	0.8221
TCEB3	8.55657	8.44185	-0.0194731	0.97915
PITHD1	38.2099	39.4883	0.0474788	0.9434
LYPLA2	43.9706	69.2934	0.656178	0.3389
