gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	4.92687	2.97044	-0.729995	0.62905
SAMD11	0.664445	0.101497	-2.71072	0.3035
KLHL17	1.57663	0.41288	-1.93305	0.30085
PLEKHN1	1.59387	1.1052	-0.528229	0.7516
ISG15	18.9451	18.112	-0.0648797	0.96165
AGRN	60.4374	15.3858	-1.97384	0.08105
B3GALT6	15.5005	28.2861	0.86778	0.43285
SCNN1D	0.507058	0.861183	0.76417	0.66075
PUSL1	6.79857	32.5864	2.26097	0.50725
GLTPD1	16.9994	81.8133	2.26685	0.0495
TAS1R3	0.0605907	2.7937	5.52694	0.1266
LOC148413	9.66416	13.7776	0.511608	0.8654
VWA1	24.7074	26.4158	0.0964561	0.92865
ATAD3C	3.87252	3.30719	-0.227665	0.86335
ATAD3B	2.01124	13.1855	2.7128	0.0707
ATAD3A	7.78263	19.1532	1.29926	0.2773
MIB2	6.93782	8.61448	0.312281	0.7928
GABRD	0.633068	7.66561	3.59797	0.0505
PRKCZ	10.9968	13.124	0.255117	0.88035
SKI	23.81	54.5385	1.19571	0.28275
RER1	46.6028	65.513	0.491365	0.696
PLCH2	2.04799	0.691505	-1.5664	0.3174
TNFRSF14	20.8114	7.18495	-1.53432	0.2208
FAM213B	17.4056	5.61965	-1.631	0.2163
ARHGEF16	8.34725	1.91929	-2.12073	0.14055
TPRG1L	43.8498	64.7684	0.562719	0.6023
TP73	0.716747	0.19492	-1.87858	0.67135
LOC388588	6.33018	2.15514	-1.55446	0.39315
DFFB	2.06357	2.84924	0.465436	0.75145
AJAP1	0.731577	0.380446	-0.943316	0.6031
KCNAB2	2.22741	4.98414	1.16198	0.4972
RNF207	1.02124	0.871713	-0.2284	0.77675
ESPN	8.03205	24.4144	1.60389	0.14805
ZBTB48	5.89023	5.7358	-0.0383272	0.97515
PHF13	11.2269	23.583	1.07079	0.33
THAP3	11.6636	15.6361	0.422862	0.87125
CAMTA1	60.159	71.6965	0.253124	0.83355
VAMP3	53.1824	33.34	-0.673698	0.52785
PER3	4.56999	1.31165	-1.8008	0.17015
PARK7	367.702	341.759	-0.105558	0.9214
SLC45A1	1.46224	0.370975	-1.97878	0.28885
ENO1-AS1	0.293431	1.48928	2.34352	0.01745
H6PD	11.4027	10.0823	-0.177543	0.8674
SPSB1	7.8027	13.676	0.809597	0.48125
SLC25A33	11.745	42.7348	1.86337	0.1249
TMEM201	4.64249	10.0033	1.10751	0.35145
PIK3CD	2.41093	1.982	-0.28263	0.9126
NMNAT1	2.53121	2.67484	0.0796268	0.95095
RBP7	69.4187	2.2043	-4.97693	0.0118
UBE4B	14.3819	24.1242	0.746228	0.4815
KIF1B	5.98443	16.992	1.50557	0.17615
PGD	88.6357	195.849	1.14379	0.31155
APITD1,APITD1-CORT,CORT	9.25503	13.0373	0.494334	0.6921
PEX14	17.9639	34.047	0.922432	0.40305
TARDBP	34.6504	37.4266	0.111189	0.9173
UBIAD1	9.00804	23.558	1.38693	0.21495
FBXO44	7.58133	9.48591	0.323335	0.8533
FBXO6	8.51253	27.5215	1.6929	0.1786
AGTRAP	71.412	84.71	0.246365	0.81835
CLCN6	3.63845	2.30554	-0.65822	0.6057
PLOD1	49.4162	90.6013	0.874547	0.42795
MFN2	27.1137	47.073	0.795876	0.4731
MIIP	8.76795	17.944	1.03319	0.39495
TNFRSF8	1.11695	0.5911	-0.918088	0.5901
TNFRSF1B	6.59203	7.32229	0.151572	0.8892
VPS13D	5.68559	5.23956	-0.117867	0.9085
PDPN	8.38512	0.528679	-3.98737	0.02435
PRDM2	10.0649	9.73747	-0.0477151	0.96635
KAZN	7.98447	3.48612	-1.19557	0.35995
TMEM51	9.32443	3.4172	-1.4482	0.28765
FHAD1	0.272647	0.100854	-1.43477	0.44695
EFHD2	17.0109	57.7217	1.76265	0.1178
DNAJC16	5.32672	7.79775	0.54981	0.6307
DDI2,RSC1A1	3.37196	8.31053	1.30135	0.31875
PLEKHM2	13.2248	30.3035	1.19624	0.2734
SLC25A34	0.499465	5.85794	3.55194	0.04495
FBLIM1	23.6792	55.378	1.22569	0.25785
SPEN	5.93361	6.43915	0.117962	0.91565
C1orf64	10.9462	1.39079	-2.97646	0.09385
CLCNKB	0.261535	0.0296324	-3.14176	0.2237
C1orf144	44.039	46.3901	0.0750358	0.94405
NECAP2	31.0641	27.5262	-0.174441	0.8666
MST1P2	0.381275	0.195243	-0.965563	0.6265
CROCC	5.64336	2.11478	-1.41604	0.2584
PADI1	0.0134411	0.358119	4.73572	0.21125
PADI3	0.423944	1.71203	2.01376	0.24025
PADI4	0.224834	0.335034	0.575446	0.7668
ARHGEF10L	8.20496	18.379	1.16349	0.28115
IGSF21	3.69865	0.27297	-3.76018	0.06665
KLHDC7A	2.24477	3.67932	0.712872	0.5705
MRTO4	21.223	33.054	0.639193	0.55505
PQLC2	6.53203	18.9641	1.53766	0.2204
C1orf151-NBL1,MINOS1,NBL1	58.0774	47.685	-0.284442	0.79615
OTUD3	2.69395	2.85696	0.0847599	0.9451
PLA2G5	0.431386	0.0466269	-3.20974	0.23725
UBXN10	3.27876	3.02344	-0.116958	0.9288
FAM43B	2.41759	0.413901	-2.54621	0.176
CDA	0.619351	1.76809	1.51336	0.42555
PINK1	51.6248	37.0942	-0.47687	0.65395
NBPF3	3.14818	4.21399	0.42067	0.7241
ALPL	11.5903	1.23412	-3.23137	0.04165
LINC00339	15.9157	7.35447	-1.11376	0.41045
CDC42	217.37	235.613	0.116263	0.9179
ZBTB40	3.86134	2.96969	-0.378792	0.7347
C1QA	34.4324	38.5117	0.161527	0.88275
C1QC	34.6005	34.6906	0.00375187	0.99735
C1QB	35.2746	35.2529	-0.000886985	0.99925
EPHB2	0.918849	2.53198	1.46237	0.3096
KDM1A	32.0305	74.2998	1.21391	0.2755
C1orf213	1.64304	2.62701	0.677051	0.8242
RPL11	4531.64	2746.58	-0.722399	0.5692
TCEB3	8.08036	15.1146	0.90345	0.4372
PITHD1	33.779	66.0635	0.967727	0.3733
LYPLA2	47.1214	120.552	1.3552	0.2185
PNRC2	59.4259	62.3068	0.0682986	0.9479
GRHL3	0.728526	5.09534	2.80613	0.26425
NIPAL3	9.27913	5.60576	-0.727079	0.51435
RCAN3	4.21991	4.74006	0.167692	0.8983
C1orf130	1.6004	0.387088	-2.0477	0.2237
SRRM1	15.4688	20.3206	0.393587	0.7076
CLIC4	30.2024	35.6423	0.238927	0.8283
RHD	0.40365	0.2252	-0.841896	0.64685
TMEM50A	70.2914	58.135	-0.273941	0.7963
TMEM57	9.35957	9.87775	0.0777394	0.94135
LDLRAP1	17.3101	19.8767	0.199469	0.84915
MAN1C1	2.33687	1.05054	-1.15345	0.4627
SEPN1	37.2942	48.923	0.391562	0.7195
FAM54B	27.7906	31.7559	0.192426	0.8583
EXTL1	3.61064	0.310967	-3.53742	0.05235
PDIK1L	3.65714	3.93476	0.105559	0.93075
FAM110D	4.30817	1.99076	-1.11376	0.51725
ZNF593	53.0255	128.596	1.27808	0.26775
CNKSR1	9.89802	13.8165	0.481177	0.6824
CEP85	2.3705	7.27225	1.61721	0.20495
SH3BGRL3	111.257	542.794	2.28651	0.05105
CD52	23.9732	61.0707	1.34906	0.39555
DHDDS	11.1967	13.3469	0.253425	0.8234
HMGN2	236.644	256.938	0.118706	0.9171
RPS6KA1	20.0274	6.38728	-1.6487	0.1557
ARID1A	13.4871	19.1559	0.506206	0.63905
PIGV	15.3993	4.41791	-1.80143	0.15985
ZDHHC18	8.03134	16.8296	1.06729	0.34505
SFN	58.1463	80.1157	0.462398	0.66325
NUDC	118.573	100.005	-0.245692	0.8239
TRNP1	22.8166	2.73942	-3.05814	0.04935
WDTC1	27.2062	30.6551	0.172191	0.87755
TMEM222	33.7258	27.2434	-0.307945	0.7767
LOC644961	0.537983	1.2262	1.18856	0.74875
SYTL1	20.1539	30.275	0.587067	0.58415
GPR3	0.48821	0.137299	-1.83018	0.3796
FAM76A	4.16533	4.73784	0.1858	0.87565
STX12	22.4569	17.1865	-0.385883	0.7225
PPP1R8	19.7477	26.7847	0.439727	0.6807
C1orf38	3.11395	9.05903	1.54061	0.28535
SMPDL3B	20.5155	8.52202	-1.26745	0.2926
XKR8	6.05384	11.8393	0.967663	0.44945
ATPIF1	224.037	301.977	0.430703	0.7104
SESN2	8.1599	15.5029	0.925919	0.41255
MED18	4.87014	7.14605	0.553182	0.67395
PHACTR4	5.73273	7.45316	0.37863	0.72365
RCC1	23.7842	42.3864	0.833597	0.4328
TRNAU1AP	10.8176	13.8296	0.354377	0.7777
RAB42	0.714285	1.58635	1.15114	0.52555
GMEB1	2.26149	4.8759	1.10839	0.4192
YTHDF2	36.752	53.8661	0.551556	0.6089
EPB41	5.90079	13.9919	1.24561	0.2979
PTPRU	6.05113	0.781186	-2.95347	0.0431
LOC100129196	0.218636	0.338116	0.628992	0.7507
ZCCHC17	20.7097	31.1972	0.591107	0.59195
SERINC2	104.432	119.602	0.195667	0.85665
TINAGL1	46.0304	89.6952	0.962444	0.37465
KHDRBS1	64.1979	80.3061	0.322983	0.7699
TMEM39B	8.2002	8.79827	0.101561	0.93945
KPNA6	11.5636	14.5349	0.329927	0.75655
TXLNA	16.5432	26.81	0.696528	0.52535
CCDC28B	4.86181	11.4692	1.2382	0.41705
IQCC	1.31788	2.00283	0.603821	0.69025
EIF3I	225.395	239.552	0.0878852	0.9357
FAM167B	3.14449	4.47869	0.510251	0.7603
LCK	1.39295	3.27	1.23114	0.42325
HDAC1	48.4094	83.868	0.792833	0.4708
TSSK3	1.12128	0.502779	-1.15715	0.54025
ZBTB8A	1.62238	1.20557	-0.428401	0.7531
RBBP4	18.5068	19.4171	0.0692669	0.9553
KIAA1522	51.3283	110.186	1.10211	0.3419
S100PBP	3.93809	4.8481	0.299924	0.921
ADC	2.76503	1.12178	-1.30151	0.43535
ZNF362	17.3805	19.9891	0.201744	0.85055
ZSCAN20	0.338433	0.45129	0.415186	0.81405
GJB5	9.33999	4.78447	-0.965062	0.50305
GJB4	0.273483	0.11847	-1.20693	0.55105
GJB3	2.59835	6.2072	1.25635	0.3798
GJA4	6.87957	4.79767	-0.519984	0.71795
ZMYM1	1.25886	3.20565	1.3485	0.3365
ZMYM4	8.20649	10.9444	0.415358	0.6937
NCDN	13.4107	7.34304	-0.868941	0.4476
TFAP2E	0.842937	0.10863	-2.95601	0.20285
EIF2C4	4.15938	5.63699	0.438556	0.6979
EIF2C1	5.24411	6.70628	0.354816	0.7422
EIF2C3	1.45882	1.93865	0.41025	0.7727
TEKT2	0.693815	0.20013	-1.79361	0.3792
ADPRHL2	18.4226	34.3618	0.89933	0.4282
MAP7D1	30.7195	45.3255	0.561168	0.60265
THRAP3	43.57	32.7098	-0.41361	0.708
SH3D21	2.28598	4.83987	1.08215	0.4299
