gene	value_1	value_2	log2(fold_change)	p_value
LOC100132062,LOC100133331	0.0544172	0.212725	1.96685	0.28885
LOC643837	5.60198	14.5338	1.3754	0.1819
SAMD11	0.748756	0.793712	0.0841205	0.75185
KLHL17	1.15769	1.27526	0.139541	0.91945
PLEKHN1	2.22033	1.35437	-0.713156	0.58685
ISG15	26.3294	48.0006	0.866379	0.3768
AGRN	61.2133	49.3083	-0.312014	0.73665
TTLL10	0.30005	0.229118	-0.389118	0.7992
B3GALT6	13.8393	17.4738	0.336419	0.6973
SCNN1D	0.482331	0.646333	0.422254	0.7712
PUSL1	8.51461	11.7051	0.459131	0.8689
GLTPD1	15.0495	19.3833	0.365101	0.6779
TAS1R3	0.342983	0.960981	1.48637	0.34755
LOC148413	6.68637	7.99184	0.257306	0.9073
VWA1	21.3291	18.3882	-0.214044	0.79
ATAD3C	2.47234	0.468019	-2.40124	0.07755
ATAD3B	2.61904	1.71584	-0.610124	0.6417
ATAD3A	7.65661	7.28095	-0.0725791	0.93695
MIB2	9.5305	7.13174	-0.418298	0.65415
MMP23B	2.75015	0.489828	-2.48917	0.11445
GABRD	0.319249	1.38542	2.11757	0.18935
PRKCZ	6.98906	9.56014	0.451933	0.73095
SKI	46.081	25.485	-0.854523	0.32785
RER1	35.3619	49.2756	0.478678	0.63555
PLCH2	8.18171	4.02537	-1.02328	0.2678
TNFRSF14	24.0861	29.2649	0.280969	0.7335
FAM213B	13.6716	31.1344	1.18733	0.1951
PRDM16	0.591216	0.186691	-1.66304	0.22865
ARHGEF16	5.42177	8.14273	0.586748	0.54185
TPRG1L	49.1329	39.4231	-0.317647	0.70135
TP73	1.43364	1.17315	-0.289297	0.88945
LOC388588	6.97572	5.87754	-0.24713	0.85685
DFFB	1.91021	2.36606	0.308756	0.79405
LOC100133612	0.0710749	0.287864	2.01797	0.3166
AJAP1	0.896865	0.300463	-1.5777	0.3034
KCNAB2	3.83092	3.13559	-0.288951	0.8259
RNF207	1.11007	2.10516	0.923277	0.83705
ESPN	5.15823	18.6895	1.85728	0.04815
TAS1R1	0.270448	0.0612513	-2.14254	0.26455
ZBTB48	4.86819	5.64338	0.213175	0.8389
PHF13	19.0469	7.88427	-1.27251	0.14575
THAP3	4.79729	6.94292	0.533324	0.8557
CAMTA1	46.4034	58.6102	0.336919	0.73655
VAMP3	55.6866	56.6688	0.0252269	0.97625
PER3	5.42794	3.17932	-0.771686	0.3813
PARK7	227.124	308.353	0.441101	0.6164
SLC45A1	1.66256	1.44076	-0.206574	0.88045
ENO1-AS1	0.386572	0.235812	-0.713101	0.00805
CA6	0.451905	0.0351234	-3.68551	0.2096
H6PD	19.2966	12.9025	-0.580701	0.4918
SPSB1	34.3546	7.52605	-2.19054	0.01855
SLC25A33	19.5799	11.7142	-0.741124	0.43145
TMEM201	6.41963	6.30635	-0.0256853	0.97635
PIK3CD	2.71671	1.72937	-0.651613	0.8649
NMNAT1	2.2613	2.41526	0.0950274	0.9273
RBP7	25.7502	38.8297	0.592577	0.51965
UBE4B	11.2764	9.459	-0.253543	0.7526
KIF1B	7.30369	4.19684	-0.799322	0.3335
PGD	51.0468	119.802	1.23076	0.1614
APITD1,APITD1-CORT,CORT	6.07528	8.97813	0.563465	0.5944
PEX14	12.6394	23.9272	0.920721	0.2981
TARDBP	30.5539	30.4113	-0.00674597	0.9933
ANGPTL7	16.986	0.0304916	-9.12171	0.04765
UBIAD1	9.85321	14.4013	0.547532	0.51175
PTCHD2	0.0611254	0.663369	3.43997	0.0698
FBXO44	5.80061	3.04699	-0.928819	0.51015
FBXO6	6.01551	8.8832	0.562393	0.6076
AGTRAP	35.0197	32.0584	-0.127463	0.8829
CLCN6	3.85396	3.24984	-0.245974	0.7958
PLOD1	40.6599	37.4927	-0.116998	0.8894
MFN2	32.351	29.494	-0.133392	0.8732
MIIP	7.52371	9.16076	0.284023	0.78
TNFRSF8	0.43874	0.702943	0.68004	0.64225
TNFRSF1B	19.1149	9.57803	-0.996894	0.2242
VPS13D	6.42899	2.92286	-1.13721	0.1718
PDPN	16.8664	4.42725	-1.92967	0.04615
PRDM2	10.003	9.82321	-0.0261733	0.976
KAZN	9.45634	14.299	0.596558	0.5296
TMEM51	13.7958	10.8986	-0.340096	0.7045
