gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	5.30826	4.75819	-0.157826	0.20575
SAMD11	2.17012	1.09739	-0.983696	0.2161
KLHL17	18.649	16.8256	-0.148446	0.10945
PLEKHN1	2.43256	2.84159	0.224227	0.09505
ISG15	169.079	237.717	0.491544	5e-05
AGRN	25.7434	27.0569	0.0717905	0.39895
B3GALT6	14.1396	13.5641	-0.0599479	0.51715
SCNN1D	1.75539	1.78077	0.0207096	0.8785
PUSL1	26.93	27.2555	0.0173332	0.92765
GLTPD1	9.92609	9.84905	-0.0112416	0.90995
LOC148413	14.2226	14.9026	0.0673777	0.6873
VWA1	20.3816	22.1591	0.120633	0.16135
ATAD3C	0.413995	0.609212	0.557331	0.0036
ATAD3B	26.087	31.7625	0.283994	0.0012
ATAD3A	45.3318	53.1997	0.230896	0.00745
MIB2	25.1281	24.2258	-0.0527616	0.5529
GABRD	6.4264	6.72759	0.0660796	0.55475
PRKCZ	18.3534	16.2607	-0.174653	0.1675
SKI	22.7476	22.8845	0.00865643	0.91925
RER1	30.9294	34.8188	0.170888	0.07905
PLCH2	0.740366	1.00573	0.44193	0.0018
FAM213B	23.3095	23.4334	0.00764306	0.9355
PRDM16	1.19663	1.11693	-0.0994409	0.38855
ARHGEF16	18.8655	20.5436	0.122939	0.1611
TPRG1L	33.702	29.8109	-0.176995	0.03995
TP73	9.05083	8.47372	-0.0950541	0.29525
LOC388588	3.83573	5.13827	0.421781	0.0505
DFFB	5.50394	5.35702	-0.0390365	0.7066
KCNAB2	6.4664	4.19787	-0.623305	5e-05
RNF207	8.94494	9.61988	0.104947	0.65735
ESPN	23.3544	22.813	-0.0338391	0.69505
ZBTB48	9.02392	9.04295	0.00303916	0.9784
PHF13	16.0624	14.4429	-0.153329	0.07905
THAP3	11.1563	10.3277	-0.111335	0.681
CAMTA1	28.1797	26.6493	-0.0805628	0.5229
VAMP3	41.3068	45.6261	0.143479	0.09205
PER3	1.61978	1.35297	-0.259663	0.02545
PARK7	304.228	317.627	0.062179	0.4647
SLC45A1	5.87098	4.79681	-0.291526	0.0098
ENO1-AS1	0.643318	0.624562	-0.0426869	0.3363
H6PD	5.14922	3.96131	-0.378375	5e-05
SPSB1	5.86676	5.48995	-0.0957701	0.3444
SLC25A33	21.4263	21.2995	-0.00856317	0.9274
TMEM201	14.5871	14.6634	0.00752048	0.93395
PIK3CD	6.02011	5.81887	-0.0490501	0.863
NMNAT1	4.11448	4.35995	0.0836028	0.40595
RBP7	33.0333	32.9611	-0.00315724	0.97435
UBE4B	15.6842	15.9045	0.0201213	0.8213
KIF1B	9.69861	9.37368	-0.049162	0.5731
PGD	156.547	163.145	0.0595562	0.4855
APITD1	15.0189	12.7743	-0.233534	0.0225
APITD1-CORT	15.0189	12.7743	-0.233534	0.0225
CORT	15.0189	12.7743	-0.233534	0.0225
PEX14	16.6111	15.8106	-0.0712532	0.4459
TARDBP	50.577	51.0564	0.0136126	0.87185
UBIAD1	8.34008	8.46166	0.0208805	0.82495
PTCHD2	0.942084	0.916013	-0.040487	0.77595
FBXO44	18.8835	16.281	-0.213938	0.2847
FBXO6	12.9321	16.4626	0.348233	0.0004
C1orf187	2.31811	1.65147	-0.489196	0.0013
AGTRAP	34.0425	32.8991	-0.0492871	0.59965
CLCN6	4.77306	5.49789	0.203965	0.1835
PLOD1	100.628	125.044	0.31341	0.00015
MFN2	35.9325	34.9186	-0.041294	0.6252
MIIP	25.3357	27.5003	0.118276	0.19425
VPS13D	4.14808	3.77814	-0.134768	0.1235
PRDM2	3.22137	3.09514	-0.0576713	0.5764
KAZN	6.96564	9.69808	0.477443	5e-05
TMEM51	10.0515	9.69333	-0.0523452	0.6038
FHAD1	0.625494	0.325336	-0.943067	5e-05
EFHD2	34.554	35.947	0.0570202	0.5049
DNAJC16	8.85807	8.93658	0.0127308	0.88285
