gene	NA	NA	Protein-RPE-1-21-3	NA
SRSF4	NA	NA	NaN	NA
COG2	NA	NA	-0.1415635	NA
CNIH4	NA	NA	0.1606902	NA
RPL5	NA	NA	-0.309409	NA
TTC4	NA	NA	-0.5590513	NA
UAP1	NA	NA	0.07183058	NA
CRYZ	NA	NA	0.4602705	NA
PRDX1	NA	NA	0.6355621	NA
KIAA1522	NA	NA	0.2612932	NA
RCC1	NA	NA	-0.6123053	NA
RBM8A	NA	NA	-0.5237627	NA
CLIC4	NA	NA	0.1135513	NA
ABCD3	NA	NA	0.2424306	NA
PPT1	NA	NA	0.262642	NA
SLC30A1	NA	NA	0.2950219	NA
NENF	NA	NA	0.1147694	NA
PI4KB	NA	NA	0.01552772	NA
PKN2	NA	NA	-0.07901972	NA
NOL9	NA	NA	-0.2174789	NA
DNAJC8	NA	NA	-0.4186756	NA
NDC1	NA	NA	NaN	NA
DNAJB4	NA	NA	0.2872193	NA
DBT	NA	NA	0.4377219	NA
DIEXF	NA	NA	-0.3057954	NA
TRAPPC3	NA	NA	0.1653536	NA
GALNT2	NA	NA	-0.1733832	NA
ACADM	NA	NA	0.1240628	NA
MRPS14	NA	NA	-1.826681	NA
ILF2	NA	NA	-0.349705	NA
IPO13	NA	NA	0.02181906	NA
GNPAT	NA	NA	-0.0661237	NA
UBE4B	NA	NA	-0.2126316	NA
RER1	NA	NA	0.2247725	NA
PRPF3	NA	NA	-0.3972554	NA
DDX20	NA	NA	-0.4364817	NA
CAPZA1	NA	NA	0.2138052	NA
PFDN2	NA	NA	-0.112233	NA
DHRS3	NA	NA	NaN	NA
DPH5	NA	NA	-0.06496163	NA
DNAJC16	NA	NA	0.07393985	NA
ATP1A1	NA	NA	0.1212668	NA
EIF2B3	NA	NA	0.04039308	NA
SH3GLB1	NA	NA	0.2031365	NA
RABGAP1L	NA	NA	-1.195033	NA
RASAL2	NA	NA	-0.249506	NA
YARS	NA	NA	-0.062398	NA
PPIH	NA	NA	-0.4292143	NA
AMPD2	NA	NA	0.5525372	NA
AGO1	NA	NA	0.1567076	NA
KHDRBS1	NA	NA	-0.3543393	NA
DR1	NA	NA	-0.1955996	NA
MAN1A2	NA	NA	0.02690659	NA
DUSP12	NA	NA	-0.1319846	NA
ACBD3	NA	NA	0.1965745	NA
PPIE	NA	NA	0.2049645	NA
TMEM9	NA	NA	0.08937467	NA
EXOSC10	NA	NA	-0.5398287	NA
WDR3	NA	NA	-0.2649567	NA
NMNAT1	NA	NA	-0.1853592	NA
EPHX1	NA	NA	0.8569723	NA
GCLM	NA	NA	0.4783663	NA
GLUL	NA	NA	-1.13888	NA
ELOVL1	NA	NA	-0.08868445	NA
TRIM33	NA	NA	0.09254005	NA
SH3BGRL3	NA	NA	0.2737443	NA
ACOT7	NA	NA	0.1265017	NA
HAX1	NA	NA	-0.07286044	NA
SFPQ	NA	NA	-0.5390346	NA
NES	NA	NA	0.3339082	NA
LGALS8	NA	NA	-0.673466	NA
DFFA	NA	NA	-0.5162687	NA
PHGDH	NA	NA	0.2556839	NA
RTCA	NA	NA	0.2805975	NA
HSD17B7	NA	NA	0.07950855	NA
C1orf50	NA	NA	0.4377796	NA
WDR77	NA	NA	-0.04739888	NA
ATP2B4	NA	NA	0.5328875	NA
PABPC4	NA	NA	-0.1589833	NA
EIF3I	NA	NA	-0.09031142	NA
CPT2	NA	NA	-0.03773358	NA
EPRS	NA	NA	0.02486878	NA
MTX1	NA	NA	-0.2558028	NA
MRPL20	NA	NA	-0.3217924	NA
HDAC1	NA	NA	-0.6983073	NA
SFN	NA	NA	-0.1243282	NA
S100A11	NA	NA	0.7751694	NA
STX6	NA	NA	NaN	NA
RPA2	NA	NA	-0.6773505	NA
FHL3	NA	NA	0.02841045	NA
MRPS21	NA	NA	-1.361319	NA
PEA15	NA	NA	0.4097189	NA
