gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	2.40876	2.82486	0.229889	0.4974
SAMD11	1.05272	0.947545	-0.151855	0.95775
KLHL17	4.73438	8.44018	0.834097	0.0037
PLEKHN1	2.90943	5.11839	0.814953	0.00845
ISG15	25.7275	96.6661	1.9097	5e-05
AGRN	91.282	136.709	0.582704	0.06195
B3GALT6	22.5215	32.6465	0.535626	0.04475
SCNN1D	0.475037	2.45137	2.36747	5e-05
PUSL1	22.5242	43.7457	0.957662	0.121
GLTPD1	20.6514	44.032	1.09231	0.0002
LOC148413	9.27558	12.9212	0.478233	0.4515
ATAD3B	23.1492	34.0406	0.556292	0.04295
ATAD3A	38.5287	49.0743	0.349031	0.19475
MIB2	10.2999	23.734	1.20432	5e-05
SKI	19.0193	20.042	0.0755604	0.77525
RER1	37.475	36.7354	-0.0287591	0.9367
TNFRSF14	6.02655	12.4453	1.0462	0.0004
FAM213B	17.5358	27.3563	0.641571	0.0279
PRDM16	2.62655	2.77609	0.0798847	0.76815
ARHGEF16	0.952333	1.07988	0.181337	0.6273
TPRG1L	23.288	22.1379	-0.073072	0.78175
LOC388588	0.383337	2.37667	2.63226	0.00905
DFFB	1.80038	1.5232	-0.241196	0.45595
KCNAB2	1.27187	2.41222	0.923415	0.1292
RNF207	1.78736	3.17606	0.829407	0.59475
ZBTB48	3.5301	6.3066	0.837154	0.00495
PHF13	11.0042	10.7438	-0.0345535	0.89855
THAP3	10.5237	17.5849	0.740702	0.3554
CAMTA1	36.3071	45.2567	0.317878	0.29315
VAMP3	57.953	53.2388	-0.122406	0.64375
PER3	2.38424	2.79488	0.229258	0.39715
PARK7	331.457	322.422	-0.0398736	0.88695
SLC45A1	0.802832	1.36858	0.769515	0.0589
H6PD	3.62941	4.88832	0.429606	0.10745
SPSB1	7.7874	7.15726	-0.121734	0.64895
SLC25A33	8.43254	5.4307	-0.634828	0.02895
TMEM201	9.7877	8.42603	-0.216117	0.42145
PIK3CD	5.52152	6.73788	0.287231	0.7698
NMNAT1	2.74932	3.3734	0.295126	0.284
UBE4B	14.9942	12.2924	-0.28664	0.2894
KIF1B	7.57323	7.85315	0.0523633	0.85165
PGD	155.743	127.647	-0.28701	0.3079
APITD1	20.3168	18.5575	-0.130673	0.6431
APITD1-CORT	20.3168	18.5575	-0.130673	0.6431
CORT	20.3168	18.5575	-0.130673	0.6431
PEX14	14.5313	19.7942	0.445919	0.09825
TARDBP	46.3388	36.3677	-0.349561	0.19965
UBIAD1	6.76072	7.08055	0.0666854	0.80535
FBXO44	2.29376	2.97117	0.373317	0.2937
FBXO6	1.68431	1.87344	0.15353	0.7026
AGTRAP	35.5517	48.4214	0.445726	0.09885
CLCN6	3.17013	3.63503	0.197426	0.51965
PLOD1	82.1084	131.604	0.6806	0.0159
MFN2	33.2339	32.707	-0.0230539	0.9384
MIIP	8.63893	17.3815	1.00863	0.00035
TNFRSF1B	1.8068	3.92986	1.12104	0.00155
VPS13D	2.60131	2.75981	0.0853286	0.75115
PRDM2	2.55548	3.31941	0.377332	0.1906
KAZN	1.0773	3.41546	1.66466	5e-05
TMEM51	6.00434	5.01714	-0.25914	0.36105
EFHD2	41.3689	48.1246	0.218231	0.41985
DNAJC16	4.83396	4.18294	-0.208691	0.4453
DDI2	4.35079	4.99402	0.198922	0.52325
RSC1A1	4.35079	4.99402	0.198922	0.52325
PLEKHM2	30.4026	45.1919	0.571869	0.03185
FBLIM1	33.0439	70.7738	1.09883	5e-05
SPEN	5.22093	6.1585	0.238273	0.3979
C1orf144	78.7203	69.958	-0.170246	0.543
NECAP2	30.9522	39.6554	0.357478	0.17195
CROCC	2.96165	5.8125	0.972756	0.00035
PADI1	0.312671	0.583207	0.899362	0.02725
ARHGEF10L	6.98991	9.70349	0.47323	0.0752
MRTO4	46.0225	45.1378	-0.0280017	0.9198
PQLC2	12.4673	20.8992	0.745293	0.0094
C1orf151-NBL1	39.0072	36.2484	-0.10582	0.71235
MINOS1	39.0072	36.2484	-0.10582	0.71235
NBL1	39.0072	36.2484	-0.10582	0.71235
OTUD3	1.68254	1.62377	-0.0512916	0.85985
CDA	1.25843	3.64816	1.53554	0.0022
PINK1	45.6902	61.6145	0.431385	0.1045
NBPF3	2.1762	2.44269	0.166663	0.5724
LINC00339	7.15293	5.29718	-0.433311	0.17155
CDC42	132.264	117.791	-0.167191	0.5589
ZBTB40	2.6088	3.21614	0.301945	0.2626
EPHB2	20.2852	18.6785	-0.119049	0.64705
KDM1A	47.3386	38.8832	-0.283868	0.29875
C1orf213	0.987047	2.00685	1.02374	0.41475
RPL11	1636.72	1794.58	0.132832	0.70675
TCEB3	12.6023	12.2907	-0.0361273	0.89495
PITHD1	44.2647	40.0339	-0.144933	0.58395
LYPLA2	66.2814	83.3125	0.329931	0.2159
PNRC2	37.6729	31.1155	-0.275893	0.3054
NIPAL3	20.6773	34.0408	0.719221	0.00955
RCAN3	3.05211	4.68391	0.617905	0.03285
SRRM1	29.5699	33.3359	0.172944	0.53945
CLIC4	98.8194	116.367	0.23581	0.4548
TMEM50A	44.3708	38.8919	-0.190141	0.4863
TMEM57	5.13636	4.50666	-0.188686	0.47105
LDLRAP1	5.47519	5.3446	-0.0348268	0.90075
SEPN1	36.0669	42.0054	0.219902	0.41615
FAM54B	20.8808	25.8148	0.306024	0.25505
PDIK1L	1.30102	0.761406	-0.772908	0.02015
ZNF593	47.914	102.289	1.09413	0.0003
CEP85	5.83492	7.73274	0.406268	0.1431
SH3BGRL3	650.634	1749.66	1.42716	0.00135
DHDDS	9.26214	11.2841	0.284876	0.2794
HMGN2	282.81	197.168	-0.520406	0.08665
RPS6KA1	7.45301	8.87539	0.251987	0.3465
ARID1A	10.2448	12.2452	0.257321	0.3363
PIGV	6.52152	6.95444	0.0927245	0.73675
ZDHHC18	8.53776	11.7627	0.462291	0.0854
SFN	1.13341	0.395925	-1.51737	0.01565
NUDC	162.779	178.865	0.135957	0.6254
TRNP1	10.3713	13.9438	0.42702	0.1271
WDTC1	13.3091	14.2883	0.102422	0.69255
TMEM222	27.0077	33.152	0.295722	0.28515
SYTL1	0.555304	0.484744	-0.196055	0.71515
GPR3	1.59411	1.38876	-0.198958	0.5787
FAM76A	1.67565	1.74724	0.0603538	0.84595
STX12	9.64579	9.81669	0.0253366	0.92295
PPP1R8	24.6754	18.8636	-0.387471	0.14345
XKR8	12.5705	15.7705	0.327191	0.2221
ATPIF1	248.713	492.859	0.986694	0.00385
SESN2	6.45427	7.24308	0.166351	0.53605
MED18	9.42391	11.2006	0.249173	0.3646
PHACTR4	8.70662	10.2119	0.230065	0.38735
RCC1	58.9093	48.2395	-0.28828	0.2901
TRNAU1AP	10.1104	9.96158	-0.0213952	0.95335
GMEB1	5.02442	4.67562	-0.103801	0.7108
YTHDF2	40.1162	31.6931	-0.340017	0.20305
EPB41	3.25751	2.65507	-0.295019	0.40035
PTPRU	0.683909	0.69543	0.0241012	0.9465
ZCCHC17	34.4737	35.0713	0.0247927	0.92875
SERINC2	31.3604	72.6903	1.21282	5e-05
KHDRBS1	96.9383	67.3875	-0.524586	0.0535
TMEM39B	10.1546	13.2829	0.387432	0.1575
KPNA6	17.4854	21.6647	0.309195	0.26455
TXLNA	21.5186	23.5779	0.131853	0.6211
CCDC28B	8.85116	16.807	0.925129	0.0029
IQCC	1.74229	1.90894	0.13178	0.6996
EIF3I	221.01	250.271	0.179374	0.54185
FAM167B	0.587443	2.63069	2.16292	0.0002
HDAC1	47.814	33.6684	-0.506038	0.057
TSSK3	0.639165	1.17024	0.872548	0.0635
ZBTB8A	1.47284	1.34083	-0.135466	0.623
RBBP4	16.6241	11.064	-0.587411	0.2172
KIAA1522	31.7542	36.2704	0.191847	0.5549
S100PBP	5.99329	5.34652	-0.164748	0.84995
ADC	3.40159	3.23426	-0.0727737	0.81145
ZNF362	7.24998	9.1205	0.331136	0.22315
ZSCAN20	0.739913	1.04404	0.496753	0.1443
ZMYM1	2.86602	2.54276	-0.172653	0.53715
ZMYM4	11.1153	8.72492	-0.349335	0.185
NCDN	20.796	23.0577	0.148938	0.5767
EIF2C4	1.98357	2.07419	0.0644492	0.8098
EIF2C1	6.04929	5.58341	-0.115619	0.6557
EIF2C3	2.79652	2.36341	-0.242761	0.41325
ADPRHL2	32.2969	47.1937	0.547198	0.0405
MAP7D1	91.4405	112.065	0.293429	0.305
THRAP3	43.152	41.4137	-0.0593193	0.8311
SH3D21	0.291076	1.206	2.05076	0.0001
ZC3H12A	3.04594	3.38286	0.151354	0.60655
DNALI1	4.43431	3.11916	-0.507554	0.61365
CDCA8	33.3078	26.9123	-0.307596	0.24165
MANEAL	19.5161	13.8739	-0.492288	0.07005
C1orf122	66.133	82.3408	0.316237	0.3438
UTP11L	29.95	21.8445	-0.455283	0.08755
AKIRIN1	27.192	25.4689	-0.0944445	0.7223
NDUFS5	353.725	568.162	0.683674	0.0337
MACF1	20.3013	19.0366	-0.0927958	0.7738
KIAA0754	4.02242	5.22262	0.37671	0.7787
PPIE	16.4051	16.5436	0.0121362	0.97315
MFSD2A	4.58321	3.06079	-0.582454	0.05745
CAP1	191.778	223.292	0.219493	0.4722
RLF	2.141	2.051	-0.061958	0.81895
ZMPSTE24	26.0506	20.7992	-0.324791	0.2277
SMAP2	8.68691	9.07064	0.0623597	0.8186
ZNF643	0.770465	0.622868	-0.306803	0.458
ZNF642	0.596218	0.784206	0.395392	0.33315
DEM1	3.54334	3.76058	0.0858453	0.7695
ZNF684	0.723914	0.659814	-0.133759	0.74025
NFYC	18.6065	20.5207	0.14127	0.59745
CTPS	33.8912	31.6621	-0.0981523	0.7165
PPCS	29.4669	31.6857	0.104733	0.712
PPIH	47.9917	35.9338	-0.417441	0.1318
YBX1	777.254	610.862	-0.347538	0.29615
C1orf50	6.25319	7.10021	0.183268	0.5543
ERMAP	3.27207	3.35651	0.0367583	0.92895
ZNF691	3.17407	3.74666	0.23927	0.44975
FLJ32224	1.32985	2.46759	0.891842	0.80325
CDC20	127.869	172.211	0.429514	0.1255
SZT2	2.7895	4.0496	0.537773	0.3165
PTPRF	47.1277	49.0299	0.0570848	0.84535
KDM4A	11.4803	10.7708	-0.0920322	0.72695
ST3GAL3	10.6345	13.5478	0.349315	0.20755
ARTN	1.09871	5.66152	2.36538	5e-05
IPO13	12.4913	16.7853	0.426276	0.1058
DPH2	11.923	13.2681	0.154207	0.5665
ATP6V0B	130.271	149.113	0.194894	0.46795
B4GALT2	45.5798	78.4112	0.782665	0.0043
CCDC24	3.31394	10.4815	1.66123	0.0768
DMAP1	23.5382	38.8855	0.724233	0.00985
RNF220	15.6153	19.1158	0.291803	0.26585
KIF2C	31.4322	26.0977	-0.268319	0.3112
RPS8	1726.35	1896.56	0.135657	0.7116
PLK3	13.7882	21.8682	0.665398	0.01235
BTBD19	2.43088	3.07855	0.340774	0.3419
UROD	106.295	134.105	0.335278	0.2237
TOE1	9.49189	7.35345	-0.368273	0.3251
MMACHC	3.45389	3.4603	0.00267438	0.99885
AKR1A1	51.4279	71.6837	0.479094	0.07345
NASP	59.6177	46.9658	-0.34413	0.24025
TMEM69	20.0455	14.7739	-0.440223	0.2013
MAST2	15.1836	19.2413	0.341693	0.19525
TSPAN1	3.18354	4.19944	0.399565	0.21905
LURAP1	2.06568	2.55711	0.307894	0.8415
RAD54L	11.8423	7.87253	-0.589052	0.3721
UQCRH	418.554	331.182	-0.337791	0.21315
NSUN4	3.18284	3.45705	0.119226	0.65845
CMPK1	39.4674	30.968	-0.349885	0.19715
CDKN2C	37.8766	30.0124	-0.335749	0.2229
