gene	value_1	value_2	log2(fold_change)	p_value
SRSF4	NA	NA	NaN	NA
COG2	NA	NA	-0.08854867	NA
CNIH4	NA	NA	0.5944868	NA
RPL5	NA	NA	-0.1375036	NA
TTC4	NA	NA	-0.4549129	NA
UAP1	NA	NA	-0.004609353	NA
CRYZ	NA	NA	0.5329501	NA
PRDX1	NA	NA	0.2970057	NA
KIAA1522	NA	NA	NaN	NA
RCC1	NA	NA	-0.2389091	NA
RBM8A	NA	NA	-0.05783149	NA
CLIC4	NA	NA	-0.003026455	NA
ABCD3	NA	NA	0.1608789	NA
PPT1	NA	NA	0.2184808	NA
SLC30A1	NA	NA	0.7432308	NA
NENF	NA	NA	-0.4193231	NA
PI4KB	NA	NA	NaN	NA
PKN2	NA	NA	-0.02856915	NA
NOL9	NA	NA	0.1180848	NA
DNAJC8	NA	NA	-0.1949696	NA
NDC1	NA	NA	-0.2586999	NA
DNAJB4	NA	NA	0.009466274	NA
DBT	NA	NA	0.5455925	NA
DIEXF	NA	NA	-0.6893886	NA
TRAPPC3	NA	NA	-0.151729	NA
GALNT2	NA	NA	-0.6186146	NA
ACADM	NA	NA	0.1807897	NA
MRPS14	NA	NA	-0.1302719	NA
ILF2	NA	NA	-0.162339	NA
IPO13	NA	NA	0.312249	NA
GNPAT	NA	NA	-0.2459823	NA
UBE4B	NA	NA	-0.2820245	NA
RER1	NA	NA	0.06114966	NA
PRPF3	NA	NA	-0.03280611	NA
DDX20	NA	NA	0.3464079	NA
CAPZA1	NA	NA	0.2521744	NA
PFDN2	NA	NA	0.01090452	NA
DHRS3	NA	NA	NaN	NA
DPH5	NA	NA	-0.1523782	NA
DNAJC16	NA	NA	-0.1028596	NA
ATP1A1	NA	NA	0.2262568	NA
EIF2B3	NA	NA	0.04759191	NA
SH3GLB1	NA	NA	0.1702966	NA
RABGAP1L	NA	NA	-0.5278711	NA
RASAL2	NA	NA	-0.07231154	NA
YARS	NA	NA	-0.01934605	NA
PPIH	NA	NA	-0.03435652	NA
AMPD2	NA	NA	0.05749685	NA
AGO1	NA	NA	0.5205394	NA
KHDRBS1	NA	NA	-0.1545833	NA
DR1	NA	NA	-0.02219018	NA
MAN1A2	NA	NA	NaN	NA
DUSP12	NA	NA	0.3258828	NA
ACBD3	NA	NA	-0.02417774	NA
PPIE	NA	NA	0.09572779	NA
TMEM9	NA	NA	0.5620692	NA
EXOSC10	NA	NA	-0.07669591	NA
WDR3	NA	NA	-0.04600209	NA
NMNAT1	NA	NA	-0.145221	NA
EPHX1	NA	NA	0.3964224	NA
GCLM	NA	NA	0.5628575	NA
GLUL	NA	NA	-0.7594967	NA
ELOVL1	NA	NA	0.08598667	NA
TRIM33	NA	NA	-0.1761951	NA
SH3BGRL3	NA	NA	0.3857331	NA
ACOT7	NA	NA	-0.03562387	NA
HAX1	NA	NA	-0.1624678	NA
SFPQ	NA	NA	-0.2601462	NA
NES	NA	NA	-0.7657139	NA
LGALS8	NA	NA	-0.6948357	NA
DFFA	NA	NA	NaN	NA
PHGDH	NA	NA	1.025764	NA
RTCA	NA	NA	0.3314451	NA
HSD17B7	NA	NA	0.3292685	NA
C1orf50	NA	NA	-0.1636275	NA
WDR77	NA	NA	-0.08542462	NA
ATP2B4	NA	NA	-0.01278327	NA
PABPC4	NA	NA	0.09832016	NA
EIF3I	NA	NA	0.07322632	NA
CPT2	NA	NA	0.1939977	NA
EPRS	NA	NA	0.2888399	NA
MTX1	NA	NA	0.1368386	NA
MRPL20	NA	NA	0.4217858	NA
HDAC1	NA	NA	-0.6082416	NA
SFN	NA	NA	-0.1081408	NA
S100A11	NA	NA	0.1630417	NA
STX6	NA	NA	NaN	NA
RPA2	NA	NA	0.03283136	NA
FHL3	NA	NA	0.04051181	NA
MRPS21	NA	NA	-0.3048614	NA
PEA15	NA	NA	0.1834905	NA
PPP2R5A	NA	NA	0.6931087	NA
CKS1B	NA	NA	-0.1012467	NA
PITHD1	NA	NA	0.4193335	NA
FNBP1L	NA	NA	-0.005040578	NA
GNL2	NA	NA	0.1188365	NA
ADPRHL2	NA	NA	0.00749254	NA
S100A13	NA	NA	-0.006333989	NA
RAB13	NA	NA	0.4197001	NA
AK4	NA	NA	-0.5466599	NA
C1orf123	NA	NA	0.3179661	NA
DHCR24	NA	NA	0.2403158	NA
CDC42	NA	NA	0.0608938	NA
SDHC	NA	NA	0.3073891	NA
IARS2	NA	NA	0.4705088	NA
SF3B4	NA	NA	0.4845904	NA
BSDC1	NA	NA	-0.3666998	NA
PRPF38B	NA	NA	-0.3026407	NA
DAP3	NA	NA	0.269373	NA
NECAP2	NA	NA	0.1573349	NA
PEF1	NA	NA	0.04972577	NA
SETDB1	NA	NA	-0.3184614	NA
SNAPIN	NA	NA	0.3715156	NA
TBCE	NA	NA	-0.1199536	NA
TCEB3	NA	NA	-0.5687131	NA
TARS2	NA	NA	0.3906998	NA
PANK4	NA	NA	0.2016923	NA
RAP1A	NA	NA	NaN	NA
TROVE2	NA	NA	-0.2149951	NA
ACTN2	NA	NA	NaN	NA
PTP4A2	NA	NA	-0.9088926	NA
HDGF	NA	NA	-0.1110313	NA
EPHA2	NA	NA	-0.1790014	NA
EPHB2	NA	NA	0.5066397	NA
SHC1	NA	NA	0.4180993	NA
LMNA	NA	NA	0.01055576	NA
GBA	NA	NA	0.9056287	NA
PEX11B	NA	NA	NaN	NA
NCSTN	NA	NA	0.3593606	NA
NUCKS1	NA	NA	-0.1118327	NA
PIP5K1A	NA	NA	0.1033363	NA
LPGAT1	NA	NA	NaN	NA
BCL10	NA	NA	0.142417	NA
PIGK	NA	NA	-0.5864045	NA
MPZL1	NA	NA	-0.4788165	NA
PSMD4	NA	NA	0.1323723	NA
GTF2B	NA	NA	0.2396853	NA
SYF2	NA	NA	-0.2704692	NA
UBE2T	NA	NA	-0.4635838	NA
SSU72	NA	NA	-0.3984599	NA
RABIF	NA	NA	0.3922507	NA
PPCS	NA	NA	0.3817049	NA
MGST3	NA	NA	1.039044	NA
HEATR1	NA	NA	0.1057992	NA
HSPG2	NA	NA	-1.673963	NA
UBQLN4	NA	NA	-0.08465541	NA
SLC16A1	NA	NA	0.02039895	NA
OTUD7B	NA	NA	-0.3155663	NA
BCAS2	NA	NA	-0.3090596	NA
NDUFS2	NA	NA	0.1508014	NA
PEX14	NA	NA	0.1301602	NA
TARDBP	NA	NA	-0.2697514	NA
SCP2	NA	NA	0.2091947	NA
TMCO1	NA	NA	0.6917323	NA
GNB1	NA	NA	0.1171613	NA
TXNDC12	NA	NA	-0.004465468	NA
ADSS	NA	NA	-0.2782227	NA
RNF2	NA	NA	0.03714743	NA
LYPLA2	NA	NA	0.4827142	NA
ZMPSTE24	NA	NA	0.192612	NA
PLOD1	NA	NA	-0.4204015	NA
S100A6	NA	NA	0.2033192	NA
PSMB2	NA	NA	0.2047983	NA
EXOC8	NA	NA	0.1809041	NA
URB2	NA	NA	0.5161197	NA
KIF1B	NA	NA	-0.1127668	NA
ATP5F1	NA	NA	0.2434037	NA
SF3A3	NA	NA	-0.30381	NA
PPP1R8	NA	NA	-0.3506104	NA
SEP15	NA	NA	-0.2701102	NA
VANGL1	NA	NA	-0.3467525	NA
PPOX	NA	NA	-0.04376442	NA
MTOR	NA	NA	0.1703453	NA
NTPCR	NA	NA	0.5300516	NA
CHML	NA	NA	0.03178398	NA
DDI2	NA	NA	-0.3432373	NA
AKT3	NA	NA	-0.2973675	NA
YBX1	NA	NA	-0.2430598	NA
LAMTOR2	NA	NA	0.3530816	NA
GGPS1	NA	NA	0.2492392	NA
TFB2M	NA	NA	0.3565502	NA
HS2ST1	NA	NA	0.2255481	NA
CLCC1	NA	NA	-0.2026371	NA
COA6	NA	NA	0.005362244	NA
LYPLAL1	NA	NA	NaN	NA
EFHD2	NA	NA	0.000447258	NA
KTI12	NA	NA	-0.7705331	NA
S100A16	NA	NA	-0.03153631	NA
BROX	NA	NA	-0.4516463	NA
UCK2	NA	NA	0.005517401	NA
CCNL2	NA	NA	0.3608018	NA
FAF1	NA	NA	-0.3542265	NA
CDK11A	NA	NA	-0.03337011	NA
GLMN	NA	NA	0.2315827	NA
OSBPL9	NA	NA	-0.2798873	NA
PRRC2C	NA	NA	-0.1058122	NA
VPS45	NA	NA	-0.03801474	NA
HSPB11	NA	NA	0.02466338	NA
DARS2	NA	NA	-0.6226493	NA
RBM15	NA	NA	-0.2237932	NA
TPRG1L	NA	NA	0.5909187	NA
COX20	NA	NA	-0.2179751	NA
CTTNBP2NL	NA	NA	-0.3499314	NA
THRAP3	NA	NA	-0.3423272	NA
MRTO4	NA	NA	0.1102461	NA
DPH2	NA	NA	-0.07313479	NA
SDF4	NA	NA	-0.4675925	NA
PTPRF	NA	NA	-0.0368456	NA
IBA57	NA	NA	0.4092557	NA
ARHGAP29	NA	NA	0.4496115	NA
FAM213B	NA	NA	NaN	NA
CD55	NA	NA	-0.4277918	NA
CHD5	NA	NA	NaN	NA
LRRC8C	NA	NA	0.1161759	NA
NEK7	NA	NA	-0.60046	NA
LZIC	NA	NA	-0.2321696	NA
LRRC40	NA	NA	-0.2599051	NA
ZYG11B	NA	NA	-0.6047603	NA
ARHGEF11	NA	NA	0.1199649	NA
TMEM201	NA	NA	0.1862783	NA
MRPL37	NA	NA	0.4723291	NA
LEPRE1	NA	NA	-0.5710457	NA
SMYD3	NA	NA	-0.06143054	NA
ANP32E	NA	NA	-0.7950188	NA
KRTCAP2	NA	NA	-0.04353195	NA
SMG5	NA	NA	-0.02275843	NA
APOA1BP	NA	NA	0.3451245	NA
TOR1AIP2	NA	NA	-0.3320491	NA
AHCTF1	NA	NA	-0.5586595	NA
LRRC47	NA	NA	0.1801194	NA
PRPF38A	NA	NA	-0.1363226	NA
WLS	NA	NA	0.321279	NA
MIER1	NA	NA	0.321279	NA
NAV1	NA	NA	-0.1979911	NA
LRRC42	NA	NA	-0.2579761	NA
BCAR3	NA	NA	0.003582247	NA
NASP	NA	NA	-0.4731116	NA
UTP11L	NA	NA	0.02685165	NA
RBM34	NA	NA	0.3453983	NA
EIF2D	NA	NA	-0.5506052	NA
DOCK7	NA	NA	0.04636967	NA
S100A10	NA	NA	0.5387439	NA
TPM3	NA	NA	-0.2804812	NA
IPO9	NA	NA	-0.1149001	NA
CEP170	NA	NA	0.1388069	NA
TP53BP2	NA	NA	0.2286214	NA
AMPD2	NA	NA	-0.1422826	NA
AK2	NA	NA	0.617211	NA
CRABP2	NA	NA	0.2845283	NA
RPS8	NA	NA	-0.1527676	NA
CNN3	NA	NA	-0.08976938	NA
HIST2H2AB	NA	NA	-0.8624316	NA
ECE1	NA	NA	-0.2032637	NA
LMNA	NA	NA	-0.09734115	NA
SMG7	NA	NA	0.02983531	NA
KDM1A	NA	NA	-0.4066456	NA
WDR47	NA	NA	0.2453006	NA
PHACTR4	NA	NA	0.7800416	NA
ALDH4A1	NA	NA	-0.147958	NA
SORT1	NA	NA	-0.3333088	NA
SCYL3	NA	NA	NaN	NA
TPM3	NA	NA	0.1246131	NA
AGL	NA	NA	0.2317692	NA
RPL22	NA	NA	-0.1515991	NA
MAGOH	NA	NA	-0.05880137	NA
UCHL5	NA	NA	-0.2819059	NA
PGD	NA	NA	0.1410324	NA
PGM1	NA	NA	0.06133032	NA
CD46	NA	NA	0.4970142	NA
ZRANB2	NA	NA	-0.1086248	NA
CMPK1	NA	NA	0.03630393	NA
NDUFS5	NA	NA	-0.246104	NA
SLC2A1	NA	NA	-0.3416442	NA
AKR1A1	NA	NA	0.284212	NA
FLAD1	NA	NA	0.1203414	NA
PRDX6	NA	NA	0.8029147	NA
DDAH1	NA	NA	0.378513	NA
GNAI3	NA	NA	-0.03660875	NA
PMVK	NA	NA	-0.6296597	NA
ENSA	NA	NA	-0.1007085	NA
GNG12	NA	NA	0.03280194	NA
NRD1	NA	NA	-0.009633886	NA
MACF1	NA	NA	-0.03801474	NA
CAPN2	NA	NA	0.2943847	NA
ZCCHC11	NA	NA	NaN	NA
DCAF8	NA	NA	0.325214	NA
CTPS1	NA	NA	-0.2204538	NA
DNTTIP2	NA	NA	0.06114966	NA
KIF2C	NA	NA	0.2213287	NA
CCT3	NA	NA	0.07007278	NA
NUP133	NA	NA	-0.2136273	NA
PSMA5	NA	NA	0.1115703	NA
SRM	NA	NA	0.2390211	NA
EPS15	NA	NA	0.02783683	NA
LBR	NA	NA	-0.5220557	NA
POMGNT1	NA	NA	NaN	NA
TSNAX	NA	NA	0.101041	NA
RPAP2	NA	NA	NaN	NA
HMGCL	NA	NA	NaN	NA
C1orf35	NA	NA	NaN	NA
TMED5	NA	NA	-0.03562387	NA
UFC1	NA	NA	-0.1228714	NA
PRCC	NA	NA	NaN	NA
SDHB	NA	NA	0.2616559	NA
RABGGTB	NA	NA	0.005116173	NA
COPA	NA	NA	-0.0836559	NA
ATAD3B	NA	NA	0.08097265	NA
ATAD3A	NA	NA	0.08097265	NA
UQCRH	NA	NA	0.4420263	NA
FH	NA	NA	0.03942898	NA
LUZP1	NA	NA	-0.3525326	NA
TMEM57	NA	NA	NaN	NA
DDOST	NA	NA	0.004985922	NA
STXBP3	NA	NA	0.2301945	NA
NOTCH2	NA	NA	0.2905506	NA
LAMC1	NA	NA	-0.1237986	NA
PARK7	NA	NA	0.01643902	NA
KIF14	NA	NA	-0.1988712	NA
MED8	NA	NA	NaN	NA
RAB3B	NA	NA	-0.257252	NA
CDC73	NA	NA	-0.4708231	NA
CHTOP	NA	NA	-0.4257815	NA
UROD	NA	NA	0.1491365	NA
SLC30A7	NA	NA	0.6385909	NA
ARID4B	NA	NA	-0.3677065	NA
COA7	NA	NA	0.3204501	NA
NSUN4	NA	NA	NaN	NA
CERS2	NA	NA	0.1524038	NA
AKR7A2	NA	NA	0.2049314	NA
YTHDF2	NA	NA	-0.1245928	NA
MSTO1	NA	NA	-0.220206	NA
SCAMP3	NA	NA	0.5136873	NA
CC2D1B	NA	NA	2.065099	NA
MRPL9	NA	NA	-0.01392671	NA
SRRM1	NA	NA	-0.1142337	NA
RBBP4	NA	NA	-0.199374	NA
FAM129A	NA	NA	2.470889	NA
USP48	NA	NA	-0.3711686	NA
IQGAP3	NA	NA	-0.7407981	NA
CHD1L	NA	NA	-0.7634966	NA
STX12	NA	NA	0.3958338	NA
PBXIP1	NA	NA	0.2392085	NA
DNAJC11	NA	NA	0.08017945	NA
TRMT1L	NA	NA	NaN	NA
SLC25A24	NA	NA	0.3046297	NA
PDE4DIP	NA	NA	-0.01678161	NA
ZNF326	NA	NA	-0.1512094	NA
ENAH	NA	NA	-0.283092	NA
FUBP1	NA	NA	-0.4284641	NA
ISG15	NA	NA	NaN	NA
PRKACB	NA	NA	-0.07696954	NA
RPL11	NA	NA	-0.06791405	NA
YRDC	NA	NA	NaN	NA
RPRD2	NA	NA	-0.309409	NA
FUCA1	NA	NA	0.04359638	NA
ADAR	NA	NA	-0.2447653	NA
ACOT7	NA	NA	-0.5734715	NA
CACYBP	NA	NA	-0.3148704	NA
ZNF687	NA	NA	NaN	NA
RABGAP1L	NA	NA	-0.117163	NA
CAMSAP2	NA	NA	-0.04208399	NA
METTL13	NA	NA	-0.3682654	NA
BPNT1	NA	NA	0.5018922	NA
SERBP1	NA	NA	-0.1382313	NA
NOC2L	NA	NA	0.07328712	NA
BTF3L4	NA	NA	0.05107034	NA
WDR26	NA	NA	0.009756703	NA
INTS3	NA	NA	-0.1744064	NA
MRPL55	NA	NA	0.2077944	NA
PHC2	NA	NA	-0.3582821	NA
ADAM15	NA	NA	NaN	NA
MACF1	NA	NA	-0.8228526	NA
PEX19	NA	NA	0.3022263	NA
