gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	2.90164	2.27224	-0.352756	0.1767
SAMD11	1.31778	2.23439	0.761775	0.48125
KLHL17	5.22554	5.08458	-0.0394511	0.8561
PLEKHN1	2.4794	2.96055	0.255873	0.297
ISG15	15.4728	21.1352	0.449914	0.04865
AGRN	132.562	130.352	-0.0242557	0.8989
B3GALT6	15.4798	11.292	-0.455085	0.01915
SCNN1D	0.956618	0.705419	-0.439462	0.1442
PUSL1	12.5114	12.1467	-0.042671	0.923
GLTPD1	14.8297	14.9148	0.00824981	0.96435
LOC148413	7.16309	8.42633	0.234323	0.5802
ATAD3B	8.0476	7.20689	-0.159181	0.46495
ATAD3A	17.3588	14.559	-0.253758	0.20205
MIB2	10.0966	11.2468	0.155645	0.42265
SKI	25.2985	28.3187	0.1627	0.3642
RER1	35.3993	35.4786	0.00322822	0.9895
TNFRSF14	5.71477	10.8129	0.919984	5e-05
FAM213B	12.4896	11.0674	-0.174403	0.4041
PRDM16	4.26005	4.93448	0.212028	0.2678
ARHGEF16	1.02532	0.146537	-2.80674	5e-05
TPRG1L	29.6105	23.9202	-0.307878	0.09375
LOC388588	1.39729	2.24152	0.681844	0.1053
DFFB	1.65307	1.40872	-0.230762	0.3668
KCNAB2	2.16163	1.36655	-0.661579	0.076
RNF207	3.25204	2.29408	-0.50343	0.5228
ZBTB48	3.51174	4.31872	0.298417	0.18565
PHF13	12.4865	9.72351	-0.360823	0.06165
THAP3	7.65514	10.0961	0.399301	0.43465
CAMTA1	28.6373	30.9075	0.110062	0.60025
VAMP3	72.2902	74.2001	0.0376207	0.8337
PER3	5.57326	4.07215	-0.452732	0.02135
PARK7	202.889	217.604	0.101014	0.56705
SLC45A1	1.29215	0.565127	-1.19313	0.0005
ENO1-AS1	0.498491	0.877237	0.815398	0.09855
H6PD	9.08456	7.11999	-0.35154	0.05545
SPSB1	9.53642	10.5876	0.150855	0.44035
SLC25A33	5.58694	5.03325	-0.150566	0.51765
TMEM201	5.82862	4.65957	-0.322957	0.1242
PIK3CD	7.91087	4.64442	-0.768336	0.2463
NMNAT1	3.78737	4.11532	0.119808	0.5649
UBE4B	19.4824	20.0365	0.0404548	0.82395
KIF1B	11.466	9.65851	-0.247494	0.17735
PGD	126.896	152.69	0.26696	0.14
APITD1	10.7808	11.6033	0.106071	0.61235
APITD1-CORT	10.7808	11.6033	0.106071	0.61235
CORT	10.7808	11.6033	0.106071	0.61235
PEX14	13.6441	13.5009	-0.0152143	0.93635
TARDBP	34.088	37.8457	0.150865	0.3927
UBIAD1	5.01948	4.74973	-0.0796925	0.6914
FBXO44	4.8668	3.44776	-0.497316	0.02625
FBXO6	1.65854	1.14956	-0.528833	0.0929
C1orf187	0.671455	3.40296	2.34143	5e-05
AGTRAP	24.0703	19.4321	-0.308808	0.1319
CLCN6	5.16926	5.49539	0.0882654	0.6902
PLOD1	131.882	100.315	-0.394719	0.02875
MFN2	28.0583	29.031	0.0491658	0.78705
MIIP	5.15827	5.5664	0.109855	0.63125
TNFRSF1B	1.62865	2.3292	0.51616	0.10735
VPS13D	4.40569	3.89213	-0.178808	0.3311
PRDM2	4.42391	3.79244	-0.222198	0.2633
KAZN	1.90099	2.98346	0.650234	0.0046
TMEM51	4.60215	4.09937	-0.166905	0.4578
EFHD2	24.8023	29.0724	0.229172	0.22795
DNAJC16	6.51484	6.2462	-0.0607514	0.7552
DDI2	6.57892	6.25631	-0.072538	0.73275
RSC1A1	6.57892	6.25631	-0.072538	0.73275
PLEKHM2	37.0935	31.004	-0.258715	0.1486
FBLIM1	63.1175	28.2338	-1.16062	5e-05
SPEN	7.88282	8.55479	0.118021	0.5169
C1orf144	65.0958	76.6788	0.236262	0.1876
NECAP2	37.0428	31.1775	-0.248691	0.1745
CROCC	3.0288	3.48918	0.204139	0.3115
PADI1	0.74751	0.23934	-1.64303	5e-05
PADI3	0.635499	0.40999	-0.632301	0.0503
ARHGEF10L	11.2135	7.29455	-0.620344	0.00135
MRTO4	21.8045	20.9332	-0.0588307	0.7516
PQLC2	8.78216	9.23745	0.0729191	0.73005
C1orf151-NBL1	22.3352	25.3115	0.180477	0.36445
MINOS1	22.3352	25.3115	0.180477	0.36445
NBL1	22.3352	25.3115	0.180477	0.36445
OTUD3	2.10859	1.87324	-0.17074	0.41415
PINK1	44.2959	43.7832	-0.0167951	0.92915
NBPF3	3.27085	3.29229	0.00942343	0.96365
LINC00339	6.87697	7.51156	0.127338	0.58735
CDC42	138.261	119.949	-0.204977	0.2537
ZBTB40	3.14653	3.96211	0.33251	0.08475
EPHB2	20.2924	18.2676	-0.151652	0.4067
KDM1A	45.3242	43.5985	-0.0560041	0.7564
C1orf213	1.61774	1.80851	0.160829	0.8408
RPL11	1231.33	1402.11	0.187384	0.30395
TCEB3	11.946	12.5813	0.0747511	0.69335
PITHD1	25.4018	27.7694	0.128564	0.4982
LYPLA2	44.7528	47.7858	0.0946027	0.60935
PNRC2	30.7719	30.4087	-0.0171296	0.92725
NIPAL3	22.497	17.6356	-0.351244	0.05405
RCAN3	6.05562	5.88061	-0.0423102	0.83835
SRRM1	32.3785	32.583	0.00908283	0.95685
CLIC4	206.482	148.736	-0.47326	0.01315
TMEM50A	40.9432	36.4222	-0.168805	0.34875
TMEM57	6.83658	6.66452	-0.0367749	0.85085
LDLRAP1	5.03215	3.67119	-0.454927	0.0345
SEPN1	47.1649	28.017	-0.75141	5e-05
FAM54B	24.8094	25.8197	0.0575894	0.76175
PDIK1L	1.42337	1.95833	0.460311	0.04705
ZNF593	22.4272	24.7989	0.145027	0.50105
CEP85	5.34242	4.64058	-0.203188	0.3139
SH3BGRL3	432.293	571.875	0.403691	0.0256
DHDDS	10.4081	7.5863	-0.456237	0.0199
HMGN2	181.495	266.558	0.554521	0.00325
RPS6KA1	5.80225	4.47809	-0.373728	0.06835
ARID1A	11.6853	10.8093	-0.112419	0.52925
PIGV	6.80276	8.12403	0.256077	0.20215
ZDHHC18	7.5732	5.71556	-0.40601	0.04575
NUDC	101.655	106.897	0.0725383	0.69025
TRNP1	12.4071	6.41758	-0.951066	5e-05
WDTC1	19.6916	16.851	-0.224749	0.2192
TMEM222	20.8027	21.9747	0.0790746	0.6909
GPR3	1.01171	0.608167	-0.73426	0.0268
FAM76A	2.55957	2.11477	-0.275406	0.21785
STX12	14.2584	13.4427	-0.0849869	0.65225
PPP1R8	19.3102	19.1692	-0.0105757	0.955
XKR8	9.23193	8.88073	-0.0559543	0.78465
ATPIF1	150.96	167.585	0.15073	0.4423
SESN2	7.02634	5.97801	-0.233108	0.24865
MED18	8.67859	9.31559	0.102187	0.6157
PHACTR4	8.70477	8.86876	0.0269261	0.88265
RCC1	41.0092	52.1773	0.347473	0.0599
TRNAU1AP	8.42222	7.69405	-0.130457	0.5938
RNU11	20.3853	13.5129	-0.59319	0.44185
GMEB1	4.47587	5.7265	0.355485	0.09215
YTHDF2	39.9351	40.2871	0.0126606	0.9443
EPB41	5.88723	3.88085	-0.601216	0.0041
