GENENAME	NORMAL	ABNORMAL	LOG2FOLD	PVALUE
LOC643837	3.39689	5.66285	0.737313	0.00455
SAMD11	1.42192	2.14706	0.594524	0.6418
KLHL17	5.73187	12.4654	1.12086	5e-05
PLEKHN1	2.72184	1.94596	-0.4841	0.06455
ISG15	16.6494	89.2289	2.42204	5e-05
AGRN	142.114	16.6558	-3.09296	5e-05
B3GALT6	17.1131	9.85812	-0.795715	0.00015
SCNN1D	1.03181	1.21515	0.235951	0.42465
PUSL1	13.667	17.8375	0.384214	0.3742
GLTPD1	16.0679	8.69083	-0.886617	0.00015
LOC148413	8.01499	11.963	0.577804	0.15675
VWA1	0.0741639	15.2699	7.68575	5e-05
ATAD3B	8.91172	11.9848	0.42743	0.04755
ATAD3A	19.0548	28.425	0.577007	0.0039
MIB2	10.672	18.4249	0.787827	0.0001
SKI	28.0039	19.3313	-0.534688	0.00375
RER1	39.9566	28.0486	-0.510507	0.02045
PLCH2	0.0559198	0.922387	4.04394	5e-05
TNFRSF14	6.21857	0.0369984	-7.39298	0.21875
FAM213B	14.0419	15.5568	0.147815	0.49465
PRDM16	4.71267	1.1985	-1.97531	5e-05
ARHGEF16	1.12347	16.0535	3.83686	5e-05
TPRG1L	33.269	25.8774	-0.362485	0.0593
TP73	0.175028	7.10993	5.34417	5e-05
LOC388588	1.44747	3.72386	1.36327	0.0014
DFFB	1.88498	5.19724	1.4632	5e-05
KCNAB2	2.39516	5.2355	1.1282	0.00185
RNF207	3.623	4.72948	0.384497	0.5742
ESPN	0.0369357	25.6255	9.43835	0.00145
ZBTB48	3.8846	7.36115	0.922167	5e-05
PHF13	14.1717	12.6642	-0.162259	0.4026
THAP3	8.32211	8.88425	0.0942996	0.872
CAMTA1	31.447	26.1201	-0.26776	0.30235
VAMP3	85.455	42.5168	-1.00713	5e-05
PER3	6.44084	1.47349	-2.12801	5e-05
PARK7	229.054	233.427	0.0272801	0.8849
SLC45A1	1.40923	6.45431	2.19536	5e-05
ENO1-AS1	0.57155	1.25325	1.13272	0.14675
H6PD	10.2041	6.08943	-0.744768	0.0002
SPSB1	10.7965	4.76362	-1.18044	5e-05
SLC25A33	6.30242	14.466	1.19869	5e-05
TMEM201	6.5314	9.74057	0.576615	0.0055
PIK3CD	8.82674	4.71376	-0.905003	0.1634
NMNAT1	4.41213	4.31984	-0.0304974	0.8831
RBP7	0.508859	29.5211	5.85834	5e-05
UBE4B	22.3619	15.1051	-0.56601	0.00195
KIF1B	13.2935	10.0459	-0.404106	0.03285
PGD	143.165	141.774	-0.0140793	0.93615
APITD1,APITD1-CORT,CORT	12.1629	12.3795	0.0254691	0.909
PEX14	14.8455	16.6492	0.165425	0.4243
TARDBP	40.3697	46.0754	0.190724	0.30315
UBIAD1	5.73994	6.7954	0.243522	0.24035
PTCHD2	0.0109258	0.785604	6.168	0.0026
FBXO44	5.50102	14.1292	1.36091	0.0006
FBXO6	1.84608	9.49195	2.36224	5e-05
C1orf187	0.721799	2.64178	1.87184	5e-05
AGTRAP	26.9305	26.6825	-0.0133517	0.94625
CLCN6	5.91322	3.69475	-0.678469	0.0049
PLOD1	145.35	103.689	-0.487277	0.0078
MFN2	31.5266	28.9103	-0.124989	0.50055
MIIP	5.69976	19.8933	1.80331	5e-05
TNFRSF1B	1.82587	0.097962	-4.22022	0.0015
VPS13D	5.08505	3.79623	-0.421694	0.0285
PRDM2	5.06487	3.11203	-0.702669	0.0011
KAZN	2.15523	5.87815	1.44752	5e-05
TMEM51	5.18792	9.79985	0.917603	0.0001
FHAD1	0.0101516	1.01029	6.63691	0.0026
EFHD2	27.3723	27.9207	0.0286164	0.88005
DNAJC16	7.64731	8.69567	0.185344	0.33495
DDI2,RSC1A1	7.53024	8.82509	0.228916	0.30385
PLEKHM2	40.671	16.8654	-1.26994	5e-05
FBLIM1	70.4178	1.46939	-5.58265	5e-05
SPEN	8.86188	16.346	0.883254	5e-05
C1orf144	74.4937	61.3147	-0.280886	0.1286
NECAP2	41.5424	23.2338	-0.838359	5e-05
MST1P2	0.239168	3.40284	3.83065	5e-05
CROCC	3.19322	6.18262	0.953208	5e-05
PADI1	0.84633	0.0230314	-5.19955	0.04575
PADI3	0.721051	3.52242	2.28839	5e-05
ARHGEF10L	12.1687	6.92214	-0.81388	0.0002
MRTO4	24.5957	38.3283	0.640005	0.0013
PQLC2	9.74633	4.44783	-1.13176	5e-05
C1orf151-NBL1,MINOS1,NBL1	25.4946	50.2968	0.980272	5e-05
OTUD3	2.45605	4.55115	0.889888	5e-05
CDA	0.410132	20.1467	5.61831	5e-05
PINK1	49.0727	18.5912	-1.4003	5e-05
NBPF3	3.73437	4.83505	0.372668	0.08265
LINC00339	7.7952	6.88366	-0.179409	0.46725
