symbol	uninfected_48.FPKM	SC35M_dNS1_48.FPKM	uninfected_48_SC35M_dNS1_48.logfc	uninfected_48_SC35M_dNS1_48.qvalue
TSPAN6	20.6272	25.9798	0.332845	0.016323
TNMD	0	0	0	1
DPM1	64.0115	72.1818	0.173304	0.630967
SCYL3	3.42636	4.33952	0.340859	0.312332
C1orf112	11.7188	20.5227	0.808391	0.000538752
FGR	0.0890022	0.143325	0.687375	1
CFH	117.235	172.975	0.561152	0.000538752
FUCA2	68.5246	74.6351	0.123232	0.642758
GCLC	31.6193	30.7337	-0.0409852	0.951601
NFYA	11.1762	13.1825	0.238204	0.327702
STPG1	3.66121	5.48305	0.582657	0.365659
NIPAL3	15.1128	11.7428	-0.363993	0.0255294
LAS1L	56.5903	47.124	-0.264093	0.112789
ENPP4	0	0	0	1
SEMA3F	18.498	71.655	1.95369	0.000538752
CFTR	0.422968	0.699886	0.72657	0.672542
ANKIB1	22.1232	30.4486	0.460815	0.25402
CYP51A1	63.7736	96.9047	0.603609	0.000538752
KRIT1	30.4234	26.1566	-0.218003	0.523125
RAD52	13.1312	11.7828	-0.156311	0.952241
MYH16	0.523412	0.936794	0.839785	0.527984
BAD	32.3086	35.6695	0.142771	0.939145
LAP3	24.7112	84.3663	1.7715	0.000538752
CD99	151.925	182.718	0.266255	0.176049
HS3ST1	0.125459	2.32666	4.21297	0.000538752
ABP1	0	0	0	1
WNT16	0.0586168	0.0244848	-1.25943	1
HECW1	3.61139	2.66952	-0.435977	0.527566
MAD1L1	31.0291	27.7592	-0.160654	0.678727
LASP1	77.0367	65.8965	-0.225343	0.454112
SNX11	8.83061	12.1881	0.464891	0.0551652
TMEM176A	0	0	0	1
M6PR	138.848	192.901	0.474353	0.405678
KLHL13	18.8466	6.25308	-1.59166	0.0549395
CYP26B1	3.24668	14.0276	2.11123	0.000538752
ICA1	5.33656	6.80995	0.351735	0.8331
DBNDD1	4.34957	5.38524	0.308139	0.514914
ALS2	5.74542	8.72168	0.602194	0.0685565
CASP10	1.78423	3.42117	0.939189	0.00194575
CFLAR	16.2973	27.9848	0.780005	0.0118335
TFPI	40.8055	99.3772	1.28415	0.000538752
NDUFAF7	21.258	16.634	-0.353873	0.835206
RBM5	49.2773	48.2813	-0.0294604	0.981897
MTMR7	1.44342	6.18758	2.09988	0.00194575
SLC7A2	71.3171	111.464	0.644257	0.000538752
ARF5	86.9799	95.03	0.127701	0.712198
SARM1	2.89703	2.50459	-0.209997	0.936393
POLDIP2	97.4613	86.4989	-0.172148	0.381357
PLXND1	57.1471	55.5712	-0.0403437	0.961703
AK2	201.244	180.75	-0.15495	0.50509
CD38	0.00686496	0.0797379	3.53794	1
FKBP4	97.0309	92.4406	-0.0699178	0.892583
KDM1A	99.6979	72.1899	-0.465766	0.042574
RBM6	28.4144	38.8522	0.451376	0.510098
CAMKK1	12.3325	5.06433	-1.28403	0.000538752
RECQL	27.8572	31.0698	0.157463	0.652385
CCDC132	17.067	22.3016	0.385941	0.377728
HSPB6	0.52902	0.465333	-0.185058	0.867465
ARHGAP33	7.26181	3.55131	-1.03198	0.583286
NDUFAB1	130.672	119.643	-0.127207	0.513519
PDK4	20.5302	74.6049	1.86153	0.000538752
SLC22A16	0	0	0	1
ZMYND10	1.47561	1.0188	-0.534435	0.591411
ABCB5	0	0	0	1
ARX	0.00699706	0	-Inf	1
SLC25A13	37.474	29.3446	-0.352796	0.373165
ST7	27.0371	27.5176	0.0254149	0.971168
CDC27	65.9268	67.0281	0.0239011	0.980444
SLC4A1	0.00483778	0.00715087	0.563772	1
CALCR	0.0126574	0	-Inf	1
HCCS	52.5618	60.808	0.210245	0.220252
DVL2	25.3338	21.3586	-0.246248	0.304599
PRSS22	0.267623	1.29644	2.27628	0.0181708
UPF1	37.5286	29.3509	-0.354584	0.259573
SKAP2	9.16398	9.42495	0.0405107	0.971534
SLC25A5	835.387	528.256	-0.661208	0.00103163
CCDC109B	12.9997	14.2698	0.134487	0.860434
HOXA11	4.89671	3.43676	-0.510763	0.0108391
POLR2J	28.0858	26.3445	-0.0923425	0.818114
DHX33	16.1206	13.8226	-0.221881	0.680199
MEOX1	7.61004	1.59141	-2.2576	0.000538752
THSD7A	0.00140065	0	-Inf	1
LIG3	32.3218	32.5702	0.0110467	0.994126
RPAP3	27.7015	37.7529	0.446626	0.175895
ACSM3	0.702927	0.528936	-0.410282	0.841371
AC004381.6	9.50874	12.7206	0.419846	0.527913
CIAPIN1	129.271	128.868	-0.00450807	0.995875
SPPL2B	32.4868	30.6555	-0.0837086	0.893892
FAM214B	1.92996	6.25559	1.69657	0.000538752
COPZ2	4.52396	3.30424	-0.453267	0.480118
PRKAR2B	0.0481698	0.0321836	-0.581803	1
MSL3	27.7083	31.786	0.198075	0.618799
CREBBP	23.4429	26.3398	0.16809	0.87957
BZRAP1	0	0	0	1
MPO	0	0	0	1
PON1	0.908019	0.27871	-1.70396	0.0927018
GCFC2	18.7057	12.3648	-0.597235	0.377404
WDR54	35.3601	30.0686	-0.233867	0.195519
CROT	2.27363	1.67109	-0.444204	0.165927
ABCB4	0	0	0	1
MLL5	17.3854	14.2719	-0.2847	0.596541
RHBDD2	53.324	70.8785	0.410564	0.515423
SOX8	0	0	0	1
IBTK	23.2277	27.5829	0.247929	0.0748922
ZNF195	20.1043	17.587	-0.192991	0.581648
MYCBP2	27.0361	28.2582	0.063784	0.952941
FBXL3	23.775	22.1514	-0.102051	0.823585
ITGAL	0	0.183033	Inf	1
PDK2	38.3652	20.4573	-0.907182	0.000538752
ITGA3	151.063	353.703	1.22739	0.000538752
ZFX	53.7921	38.3396	-0.488559	0.57874
LAMP2	41.8828	44.3815	0.0835986	0.765978
GGNBP2	40.4193	41.2757	0.0302484	0.955204
ITGA2B	0.259829	1.65236	2.6689	0.00149606
ASB4	0.0200116	0.228811	3.51525	1
GDE1	49.105	71.0171	0.532297	0.00149606
C19orf60	21.6428	31.675	0.549458	0.685744
CRLF1	8.02743	5.69879	-0.494282	0.767264
OSBPL7	7.50892	8.33544	0.150653	0.836201
TMEM98	0	0.0180375	Inf	1
YBX2	0.572647	0.281591	-1.02405	0.422748
KRT33A	0	0.00958932	Inf	1
MAP3K14	3.31413	3.22614	-0.0388236	0.968023
ABCC8	0.228446	6.37551	4.80261	0.000538752
CCL18	0	0	0	1
CCL3	0	0.0742298	Inf	1
SYNRG	8.54594	14.4271	0.755469	0.25993
CACNG3	0.099332	0.0800122	-0.312038	1
TMEM132A	29.0361	65.5163	1.17401	0.00194575
AP2B1	71.0595	54.9105	-0.371947	0.274551
TAC1	0	0	0	1
ZNF263	19.663	14.0512	-0.484793	0.128026
CX3CL1	0.0143607	0.177941	3.6312	1
SPATA20	6.91947	8.86036	0.356703	0.182308
CACNA1G	0.0375997	0.0339296	-0.148178	1
TNFRSF12A	50.745	153.54	1.59728	0.00737689
DLX6	0	0	0	1
MAP3K9	1.72553	2.01144	0.221185	0.316866
RALA	54.3128	65.3836	0.267635	0.758241
BAIAP2L1	14.3456	15.2809	0.0911231	0.859758
JHDM1D	1.7081	3.6099	1.07957	0.0415435
ETV1	0	0	0	1
AGK	16.3342	15.5753	-0.0686386	0.946815
ALDH3B1	57.1215	41.4241	-0.463562	0.0115022
TTC22	0	0	0	1
PHTF2	10.5004	8.77607	-0.258795	0.628617
CCL26	10.8236	19.8672	0.876212	0.000538752
FARP2	16.9016	12.0358	-0.489829	0.405847
USH1C	19.0616	16.2552	-0.229769	0.920659
GGCT	83.7067	45.3018	-0.885775	0.000538752
DBF4	26.9791	26.7031	-0.0148336	0.983879
TBXA2R	3.90215	6.04818	0.632233	0.000538752
IFRD1	69.6309	45.2088	-0.623125	0.0324234
LGALS14	0	0	0	1
COX10	11.8244	10.1463	-0.220809	0.439694
GTF2IRD1	44.6215	36.6886	-0.282409	0.469577
PAF1	32.8161	44.0084	0.423373	0.0857737
VPS41	36.7777	31.6841	-0.215071	0.754012
ARHGAP44	0.161139	0.113573	-0.504681	1
ELAC2	81.0627	85.8246	0.0823534	0.902911
SCIN	0.781288	0.198389	-1.97752	0.0028049
ARSD	3.85543	6.97049	0.854368	0.16699
PNPLA4	26.4841	11.1672	-1.24586	0.000538752
MYH13	0.00137449	0	-Inf	1
ADIPOR2	56.1077	62.3012	0.151061	0.831807
CDKL3	1.22228	1.18673	-0.0425793	0.987906
UPP2	0	0	0	1
PRSS21	245.987	207.301	-0.246856	0.177453
MARK4	4.95933	9.64061	0.958979	0.0855646
PROM1	0.282812	0.116542	-1.279	1
CCDC124	130.745	97.9516	-0.416615	0.00238261
CEACAM21	0	0	0	1
PAFAH1B1	69.0567	64.7688	-0.0924842	0.856026
NOS2	0	0.551991	Inf	0.368956
DNAH9	0.0358865	0.0261219	-0.458179	1
KIAA0100	92.3405	72.0329	-0.358308	0.618563
SLC13A2	0.0459866	0.173699	1.91731	1
GAS7	5.75617	2.85079	-1.01375	0.00149606
TRAPPC6A	7.80414	3.26569	-1.25685	0.22524
MATK	31.2116	24.5234	-0.347921	0.0334855
CEACAM7	0.0162623	0	-Inf	1
CD79B	0.0356116	0.216339	2.60287	1
SCN4A	0.0758229	0.0638767	-0.247343	1
ST7L	40.0048	45.3723	0.181638	0.918571
TKTL1	0.113012	0.0595216	-0.924988	1
PAX6	12.274	11.2625	-0.124075	0.956133
RPUSD1	14.5612	12.4813	-0.222363	0.500734
RHBDF1	6.59574	16.7926	1.34822	0.000538752
LUC7L	26.1295	30.044	0.201397	0.439633
