symbol	Uninfected_24.FPKM	SC35M_wt_24.FPKM	uninfected_24_SC35M_wt_24.logfc	uninfected_24_SC35M_wt_24.qvalue
TSPAN6	19.6057	31.1183	0.666489	0.000538752
TNMD	0	0.017091	Inf	1
DPM1	58.5293	69.608	0.250094	0.363041
SCYL3	3.38153	2.46012	-0.458948	0.142527
C1orf112	11.878	11.761	-0.0142717	0.983852
FGR	0.228232	0.199855	-0.191549	1
CFH	102.361	80.8498	-0.340355	0.00878921
FUCA2	76.4943	116.289	0.604283	0.000538752
GCLC	33.6145	24.797	-0.438917	0.0890076
NFYA	12.27	8.21214	-0.579302	0.00149606
STPG1	5.78105	6.06689	0.0696252	0.964391
NIPAL3	17.5299	17.5123	-0.00145094	0.996044
LAS1L	67.4522	64.3827	-0.0671916	0.816109
ENPP4	0	0	0	1
SEMA3F	21.4398	24.6665	0.202263	0.661071
CFTR	1.45119	1.07003	-0.439586	0.792621
ANKIB1	22.1361	17.7527	-0.318358	0.554396
CYP51A1	51.0444	42.9898	-0.247757	0.150249
KRIT1	30.4349	17.543	-0.794831	0.00362295
RAD52	16.5903	15.1726	-0.128878	0.945562
MYH16	0.94974	1.03407	0.122727	0.96765
BAD	38.488	68.8016	0.838033	0.215112
LAP3	27.9629	31.7482	0.183159	0.728338
CD99	156.212	279.718	0.840463	0.000538752
HS3ST1	0.270644	0.377235	0.479068	0.834242
ABP1	0	0	0	1
WNT16	0.0279505	0	-Inf	1
HECW1	5.37748	4.78783	-0.167558	0.859207
MAD1L1	26.7992	15.4273	-0.796705	0.156266
LASP1	87.972	69.4346	-0.341391	0.158856
SNX11	8.27971	6.46501	-0.356927	0.322077
TMEM176A	0	0	0	1
M6PR	148.271	221.28	0.577632	0.448822
KLHL13	10.4687	8.27618	-0.339048	0.829658
CYP26B1	3.55519	4.5994	0.37152	0.470403
ICA1	10.593	4.35019	-1.28396	0.0710105
DBNDD1	5.05518	7.90865	0.645669	0.0246834
ALS2	5.20749	3.62782	-0.521487	0.166222
CASP10	3.31897	2.01317	-0.721264	0.175895
CFLAR	16.7552	20.1928	0.269236	0.41903
TFPI	32.492	48.9778	0.592045	0.000538752
NDUFAF7	19.7338	25.9249	0.393669	0.786383
RBM5	44.5857	26.2622	-0.763593	0.189618
MTMR7	2.10553	1.5846	-0.410067	0.772155
SLC7A2	88.1827	36.6548	-1.26649	0.000538752
ARF5	100.546	255.815	1.34725	0.000538752
SARM1	4.52824	2.04466	-1.14709	0.354896
POLDIP2	101.172	167.638	0.728541	0.000538752
PLXND1	68.8666	53.2369	-0.371378	0.230016
AK2	175.115	225.235	0.363124	0.016942
CD38	0.00644653	0.444784	6.10844	1
FKBP4	74.4795	141.428	0.925155	0.000538752
KDM1A	126.035	99.1859	-0.345614	0.116743
RBM6	28.1132	33.0902	0.235159	0.738973
CAMKK1	9.78938	8.71251	-0.16813	0.324121
RECQL	33.0209	29.7425	-0.150853	0.669223
CCDC132	20.6016	20.1636	-0.0310083	0.978506
HSPB6	0.595519	0.604377	0.0213007	0.983786
ARHGAP33	2.31288	1.87033	-0.306399	0.865878
NDUFAB1	149.407	330.091	1.14361	0.000538752
PDK4	11.2849	8.87147	-0.347153	0.0091353
SLC22A16	0	0.01377	Inf	1
ZMYND10	1.21458	1.78683	0.556943	0.418451
ABCB5	0	0.00943914	Inf	1
ARX	0.00722239	0.00753256	0.0606649	1
SLC25A13	35.7112	40.7903	0.191848	0.728664
ST7	27.1662	38.5743	0.505829	0.141668
CDC27	69.9282	63.1112	-0.147978	0.814556
SLC4A1	0.0172117	0.220569	3.67977	1
CALCR	0.00691132	0.0162035	1.22927	1
HCCS	48.4599	59.9918	0.307975	0.0252472
DVL2	24.7296	14.0321	-0.817505	0.00149606
PRSS22	0.28992	1.56941	2.43649	0.0111727
UPF1	34.4784	17.6553	-0.965595	0.000538752
SKAP2	11.7157	9.97918	-0.23145	0.60075
SLC25A5	922.232	1080.26	0.228183	0.326389
CCDC109B	16.5367	35.0988	1.08575	0.00480514
HOXA11	3.987	4.29791	0.108333	0.804628
POLR2J	33.0379	78.681	1.25189	0.000538752
DHX33	14.1821	15.4214	0.12087	0.884359
MEOX1	14.0235	3.10597	-2.17473	0.000538752
THSD7A	0	0	0	1
LIG3	46.0877	39.6149	-0.218337	0.91466
RPAP3	25.8271	27.3338	0.0818009	0.915332
ACSM3	0.828418	0.537603	-0.623816	0.703878
AC004381.6	11.8628	16.4686	0.473267	0.461239
CIAPIN1	131.232	112.073	-0.227681	0.852177
SPPL2B	31.2395	30.5885	-0.0303791	0.968167
FAM214B	1.93555	1.46916	-0.397747	0.288132
COPZ2	3.42318	16.3447	2.25541	0.31988
PRKAR2B	0	0.0390414	Inf	1
MSL3	30.6008	44.8932	0.552929	0.0175605
CREBBP	21.392	12.5609	-0.768132	0.256688
BZRAP1	0	0.118538	Inf	1
MPO	0	0.156694	Inf	1
PON1	0.686481	0.783813	0.191291	0.930473
GCFC2	19.1549	22.2226	0.214319	0.775126
WDR54	36.1492	26.8494	-0.429072	0.00878921
CROT	2.57446	2.1374	-0.268412	0.599418
ABCB4	0	0.033961	Inf	1
MLL5	16.1609	13.0769	-0.305492	0.514234
RHBDD2	48.4426	40.9006	-0.244154	0.769819
SOX8	0	0	0	1
IBTK	22.047	17.6465	-0.321205	0.00703056
ZNF195	16.8094	16.6345	-0.0150932	0.979461
MYCBP2	25.7605	15.5671	-0.726664	0.0593279
FBXL3	22.9693	15.5926	-0.558848	0.0196933
ITGAL	0.142829	0.133079	-0.102004	1
PDK2	41.6834	29.938	-0.477494	0.0217763
ITGA3	190.262	120.181	-0.662786	0.101032
ZFX	51.422	37.4153	-0.458756	0.591278
LAMP2	41.55	38.9937	-0.0916073	0.719255
GGNBP2	41.8447	24.6921	-0.760995	0.000538752
ITGA2B	0.435123	4.07671	3.22791	0.00441694
ASB4	0.0188876	0.266514	3.8187	1
GDE1	48.7019	110.904	1.18727	0.000538752
C19orf60	35.0253	70.9443	1.01829	0.349894
CRLF1	5.88167	10.1884	0.792627	0.668325
OSBPL7	8.36639	8.98547	0.102988	0.94608
TMEM98	0.0353788	0.119597	1.75722	1
YBX2	0.505616	0.727436	0.52478	0.587276
KRT33A	0	0.0372344	Inf	1
MAP3K14	4.25336	2.55221	-0.736858	0.0329459
ABCC8	0.0640669	0.700347	3.45042	0.000538752
CCL18	0	0	0	1
CCL3	0	0	0	1
SYNRG	8.67902	8.15406	-0.0900128	0.940362
CACNG3	0.0658684	0.0681276	0.048654	1
TMEM132A	27.0297	24.4	-0.147667	0.892379
AP2B1	75.5496	72.509	-0.0592654	0.943194
TAC1	0	0	0	1
ZNF263	13.7772	10.7557	-0.357178	0.321879
CX3CL1	0.0578677	0.0202167	-1.51721	1
SPATA20	10.4581	15.2651	0.545611	0.0568101
CACNA1G	0.0208776	0.0783879	1.90868	1
TNFRSF12A	44.3116	73.8603	0.737115	0.323433
DLX6	0	0	0	1
MAP3K9	1.74886	1.35	-0.373454	0.0631885
RALA	59.4138	49.0342	-0.277009	0.759922
BAIAP2L1	13.5542	11.6232	-0.221735	0.550333
JHDM1D	1.90029	0.731321	-1.37764	0.020594
ETV1	0	0.0059927	Inf	1
AGK	14.9537	12.3984	-0.270356	0.627817
ALDH3B1	86.774	60.6261	-0.517324	0.00321856
TTC22	0	0.0153373	Inf	1
PHTF2	10.1036	8.66012	-0.222415	0.653077
CCL26	15.1337	32.1578	1.08741	0.000538752
FARP2	15.5114	13.8796	-0.160365	0.891832
USH1C	5.1965	9.44138	0.861457	0.584562
GGCT	90.6851	204.587	1.17378	0.000538752
