symbol	uninfected_48.FPKM	SC35M_wt_48.FPKM	uninfected_48_SC35M_wt_48.logfc	uninfected_48_SC35M_wt_48.qvalue
TSPAN6	20.6272	26.445	0.358445	0.0735995
TNMD	0	0	0	1
DPM1	64.0115	42.2957	-0.597821	0.01787
SCYL3	3.42636	2.41065	-0.507252	0.106603
C1orf112	11.7188	5.75459	-1.02604	0.000538752
FGR	0.0890022	0.155942	0.809093	1
CFH	117.235	69.7979	-0.748153	0.000538752
FUCA2	68.5246	96.2614	0.490335	0.00103163
GCLC	31.6193	30.3947	-0.0569861	0.950108
NFYA	11.1762	6.37958	-0.808892	0.00103163
STPG1	3.66121	2.09732	-0.803773	0.292499
NIPAL3	15.1128	10.1034	-0.580924	0.000538752
LAS1L	56.5903	40.8849	-0.468987	0.00480514
ENPP4	0	0	0	1
SEMA3F	18.498	28.3712	0.617053	0.119736
CFTR	0.422968	0.506087	0.258836	0.935884
ANKIB1	22.1232	14.0917	-0.650718	0.335275
CYP51A1	63.7736	45.5301	-0.486137	0.00149606
KRIT1	30.4234	15.1386	-1.00695	0.0108391
RAD52	13.1312	24.4334	0.895856	0.319771
MYH16	0.523412	0.677923	0.373176	0.801608
BAD	32.3086	66.6461	1.0446	0.0985195
LAP3	24.7112	32.8029	0.408656	0.189898
CD99	151.925	262.277	0.78773	0.000538752
HS3ST1	0.125459	1.33101	3.40722	0.00194575
ABP1	0	0.151491	Inf	1
WNT16	0.0586168	0.115575	0.979448	1
HECW1	3.61139	2.23363	-0.693165	0.473844
MAD1L1	31.0291	16.4464	-0.915847	0.000538752
LASP1	77.0367	46.9645	-0.713974	0.000538752
SNX11	8.83061	8.24978	-0.0981582	0.891599
TMEM176A	0	0	0	1
M6PR	138.848	227.938	0.715128	0.423788
KLHL13	18.8466	7.77784	-1.27686	0.046771
CYP26B1	3.24668	10.0588	1.63142	0.000538752
ICA1	5.33656	4.38927	-0.281928	0.84148
DBNDD1	4.34957	4.58242	0.0752395	0.938442
ALS2	5.74542	5.6635	-0.020718	0.982411
CASP10	1.78423	3.07786	0.786625	0.0622639
CFLAR	16.2973	16.8204	0.0455736	0.966915
TFPI	40.8055	62.5982	0.617355	0.000538752
NDUFAF7	21.258	22.0272	0.0512809	0.981538
RBM5	49.2773	81.6919	0.729268	0.181281
MTMR7	1.44342	1.55114	0.103839	0.966305
SLC7A2	71.3171	25.7838	-1.46779	0.000538752
ARF5	86.9799	243.115	1.48288	0.000538752
SARM1	2.89703	2.8878	-0.00460341	0.998144
POLDIP2	97.4613	116.203	0.253743	0.0890076
PLXND1	57.1471	44.1579	-0.37201	0.303364
AK2	201.244	147.109	-0.452065	0.0028049
CD38	0.00686496	0.503833	6.19755	0.539598
FKBP4	97.0309	151.822	0.645869	0.000538752
KDM1A	99.6979	64.1444	-0.636241	0.0108391
RBM6	28.4144	98.8807	1.79907	0.000538752
CAMKK1	12.3325	6.70969	-0.878152	0.000538752
RECQL	27.8572	15.0686	-0.886506	0.00737689
CCDC132	17.067	17.4065	0.0284217	0.978998
HSPB6	0.52902	2.37805	2.16839	0.000538752
ARHGAP33	7.26181	3.79026	-0.938033	0.577646
NDUFAB1	130.672	250.359	0.93805	0.000538752
PDK4	20.5302	6.82742	-1.58833	0.000538752
SLC22A16	0	0.0675524	Inf	1
ZMYND10	1.47561	3.97644	1.43017	0.0118335
ABCB5	0	0.0250232	Inf	1
ARX	0.00699706	0.594685	6.40923	0.51225
SLC25A13	37.474	53.3503	0.509606	0.24111
ST7	27.0371	25.5994	-0.0788296	0.903792
CDC27	65.9268	71.3539	0.114129	0.894254
SLC4A1	0.00483778	2.26361	8.87006	0.539002
CALCR	0.0126574	0.0439477	1.79581	1
HCCS	52.5618	72.3195	0.460368	0.000538752
DVL2	25.3338	25.5943	0.0147621	0.983441
PRSS22	0.267623	8.26341	4.94846	0.000538752
UPF1	37.5286	24.1549	-0.635674	0.0384616
SKAP2	9.16398	9.94341	0.117767	0.903792
SLC25A5	835.387	813.716	-0.0379189	0.94167
CCDC109B	12.9997	19.074	0.553127	0.110006
HOXA11	4.89671	5.50902	0.169982	0.681054
POLR2J	28.0858	48.4152	0.785618	0.000538752
DHX33	16.1206	25.7723	0.676912	0.0308117
MEOX1	7.61004	0.841949	-3.1761	0.000538752
THSD7A	0.00140065	0	-Inf	1
LIG3	32.3218	33.3583	0.0455379	0.976984
RPAP3	27.7015	23.7949	-0.21931	0.645769
ACSM3	0.702927	0.919821	0.387978	0.88498
AC004381.6	9.50874	55.4132	2.5429	0.000538752
CIAPIN1	129.271	102.29	-0.337738	0.707247
SPPL2B	32.4868	22.5123	-0.529143	0.10549
FAM214B	1.92996	3.60922	0.903113	0.000538752
COPZ2	4.52396	57.2747	3.66224	0.000538752
PRKAR2B	0.0481698	0.0341295	-0.497107	1
MSL3	27.7083	36.8789	0.412477	0.217654
CREBBP	23.4429	26.757	0.190762	0.850601
BZRAP1	0	0.615278	Inf	0.000538752
MPO	0	0.198699	Inf	1
PON1	0.908019	0.727038	-0.320692	0.900713
GCFC2	18.7057	17.8575	-0.0669481	0.967863
WDR54	35.3601	26.1719	-0.434104	0.00666586
CROT	2.27363	0.708372	-1.68242	0.000538752
ABCB4	0	0.0143311	Inf	1
MLL5	17.3854	38.3652	1.14193	0.000538752
RHBDD2	53.324	32.365	-0.72035	0.246802
SOX8	0	0.046519	Inf	1
IBTK	23.2277	14.4397	-0.6858	0.000538752
ZNF195	20.1043	25.0943	0.319855	0.428286
MYCBP2	27.0361	21.6854	-0.318163	0.584351
FBXL3	23.775	17.7158	-0.424413	0.280537
ITGAL	0	6.74905	Inf	0.000538752
PDK2	38.3652	14.6593	-1.38798	0.000538752
ITGA3	151.063	132.894	-0.184876	0.80983
ZFX	53.7921	69.5612	0.37089	0.787599
LAMP2	41.8828	30.883	-0.439546	0.00149606
GGNBP2	40.4193	42.2161	0.0627467	0.920035
ITGA2B	0.259829	15.2397	5.87413	0.000538752
ASB4	0.0200116	0	-Inf	1
GDE1	49.105	110.707	1.1728	0.000538752
C19orf60	21.6428	48.9476	1.17735	0.424329
CRLF1	8.02743	12.6446	0.655507	0.719113
OSBPL7	7.50892	7.09398	-0.0820097	0.949211
TMEM98	0	0.933743	Inf	0.000538752
