gene	process	chr	function	ENSG
AADAT	Amino Acid Metabolism	NA	catalytic activity; pyridoxal phosphate binding	NA
AARS2	Translation	NA	alanine-tRNA ligase activity; ATP binding; nucleic acid binding	NA
AASS	Amino Acid Metabolism	NA	saccharopine dehydrogenase (NAD+; L-lysine-forming) activity	NA
ABAT	Amino Acid Metabolism	NA	4-aminobutyrate transaminase activity; pyridoxal phosphate binding	NA
ABCA12	Transmembrane Transport	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; transporter activity	NA
ABCA9	Transmembrane Transport	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; transporter activity	NA
ABCB10	Import & Sorting	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; oligopeptide-transporting ATPase activity; transporter activity; xenobiotic-transporting ATPase activity	NA
ABCB6	Import & Sorting	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; cadmium ion transmembrane transporter activity; heme transporter activity; transporter activity	NA
ABCB7	Import & Sorting	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; cadmium ion transmembrane transporter activity; heme transporter activity; transporter activity	NA
ABCB8	Import & Sorting	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; oligopeptide-transporting ATPase activity; transporter activity; xenobiotic-transporting ATPase activity	NA
ABCD1	Metabolism of Lipids & Lipoproteins	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; transporter activity	NA
ABCD2	Metabolism of Lipids & Lipoproteins	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; transporter activity	NA
ABCD3	Metabolism of Lipids & Lipoproteins	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; transporter activity	NA
ABCE1	Transmembrane Transport	NA	ATP binding; ATPase activity; iron-sulfur cluster binding; ribonuclease inhibitor activity; ribosomal small subunit binding	NA
ABCF2	Import & Sorting	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; transporter activity	NA
ACAA2	Amino Acid Metabolism	NA	acetyl-CoA C-acetyltransferase activity	NA
ACAA2	Fatty Acid Degradation	NA	acetyl-CoA C-acyltransferase activity	NA
ACAD9	Electron Transport Chain	NA	flavin adenine dinucleotide binding; long-chain-acyl-CoA dehydrogenase activity	NA
ACAD9	Fatty Acid Degradation	NA	flavin adenine dinucleotide binding; very-long-chain-acyl-CoA dehydrogenase activity	NA
ACADM	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding	NA
ACADS	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding; RNA polymerase II transcription cofactor activity; short-branched-chain-acyl-CoA dehydrogenase activity	NA
ACADSB	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding; RNA polymerase II transcription cofactor activity; short-branched-chain-acyl-CoA dehydrogenase activity	NA
ACADVL	Fatty Acid Degradation	NA	flavin adenine dinucleotide binding; very-long-chain-acyl-CoA dehydrogenase activity	NA
ACAT1	Amino Acid Metabolism	NA	acetyl-CoA C-acetyltransferase activity	NA
ACAT1	Fatty Acid Degradation	NA	acetyl-CoA C-acyltransferase activity	NA
ACAT2	Amino Acid Metabolism	NA	acetyl-CoA C-acetyltransferase activity	NA
ACAT2	Fatty Acid Degradation	NA	acetyl-CoA C-acyltransferase activity	NA
ACN9	Electron Transport Chain	NA	  	NA
ACO2	TCA Cycle	NA	4 iron 4 sulfur cluster binding; aconitate hydratase activity	NA
ACOT13	Fatty Acid Biosynthesis	NA	acyl-CoA hydrolase activity	NA
