gene	process	chr	function	ENSG
MT-ND1	Electron transport chain	MT	MT-ND1: Mitochondrially encoded NADH dehydrogenase 1 part of enzyme complex I	ENSG00000198888
MT-ND2	Electron transport chain	MT	MT-ND2: Mitochondrially encoded NADH dehydrogenase 2 part of enzyme complex I	ENSG00000198763
MT-ND3	Electron transport chain	MT	MT-ND3: Mitochondrially encoded NADH dehydrogenase 3 part of enzyme complex I	ENSG00000198840
MT-ND4	Electron transport chain	MT	MT-ND4: Mitochondrially encoded NADH dehydrogenase 4 part of enzyme complex I	ENSG00000198886
MT-ND4L	Electron transport chain	MT	MT-ND4L: Mitochondrially encoded NADH dehydrogenase 4L part of enzyme complex I	ENSG00000212907
MT-ND5	Electron transport chain	MT	MT-ND5: Mitochondrially encoded NADH dehydrogenase 5 part of enzyme complex I	ENSG00000198786
MT-ND6	Electron transport chain	MT	MT-ND6: Mitochondrially encoded NADH dehydrogenase 6 part of enzyme complex I	ENSG00000198695
NDUFA1	Electron transport chain	X	NDUFA1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000125356
NDUFA2	Electron transport chain	5	NDUFA2: Essential component of complex I may be involved in regulating complex I activity or its assembly via assistance in redox processes	ENSG00000131495
NDUFA3	Electron transport chain	19	NDUFA3: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000170906
NDUFA4	Electron transport chain	7	NDUFA4: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000189043
NDUFA5	Electron transport chain	7	NDUFA5: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000128609
NDUFA6	Electron transport chain	22	NDUFA6: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000184983
NDUFA7	Electron transport chain	19	NDUFA7: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000267855
NDUFA8	Electron transport chain	9	NDUFA8: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000119421
NDUFA9	Electron transport chain	12	NDUFA9: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000139180
NDUFA10	Electron transport chain	2	NDUFA10: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000130414
