gene	process	chr	function	ENSG
CASP8	Apoptosis	NA	cysteine-type endopeptidase activity; endopeptidase activity; peptidase activator activity involved in apoptotic process; protein binding	NA
ACSM2A	Fatty Acid Biosynthesis	NA	4-coumarate-CoA ligase activity	NA
ACSS1	Pyruvate Metabolism	NA	acetate-CoA ligase activity; AMP binding	NA
ADCK3	Electron Transport Chain	NA	protein kinase activity; transferase activity transferring phosphorus-containing groups	NA
ADCK4	Electron Transport Chain	NA	protein kinase activity; transferase activity transferring phosphorus-containing groups	NA
AGTPBP1	Mitochondrial Dynamics	NA	metallocarboxypeptidase activity; zinc ion binding	NA
AIFM1	Apoptosis	NA	DNA binding; flavin adenine dinucleotide binding; oxidoreductase activity	NA
AIFM3	Apoptosis	NA	Two-iron-two-sulfur cluster binding; ferredoxin-NAD(P) reductase activity; flavin adenine dinucleotide binding	NA
AIFM3	Apoptosis	NA	Two-iron-two-sulfur cluster binding; flavin adenine dinucleotide binding; oxidoreductase activity	NA
FARS2	Translation	NA	ATP binding; magnesium ion binding; phenylalanine-tRNA ligase activity; tRNA binding	NA
FASTKD5	Translation	NA		NA
FDX1	Fe-S cluster biosynthesis	NA	Two-iron-two-sulfur cluster binding; electron carrier activity	NA
FDX1L	Fe-S cluster biosynthesis	NA	Two-iron-two-sulfur cluster binding; electron carrier activity	NA
FDX2	Heme Biosynthesis	NA	Two-iron-two-sulfur cluster binding; electron carrier activity	NA
AGXT2L1	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity; ornithine-oxo-acid transaminase activity; pyridoxal phosphate binding	NA
FECH	Heme Biosynthesis	NA	Two-iron	NA
AGXT2L2	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity; ornithine-oxo-acid transaminase activity; pyridoxal phosphate binding	NA
FEN1	Replication & Transcription	NA	DNA binding; endonuclease activity; flap endonuclease activity	NA
AGXT	Amino Acid Metabolism	NA	alanine-glyoxylate transaminase activity; pyridoxal phosphate binding; serine-pyruvate transaminase activity	NA
AK2	Apoptosis	NA	adenylate kinase activity; ATP binding	NA
FIS1	Mitochondrial Dynamics	NA	  	NA
IMMP1L	Import & Sorting	NA	serine-type peptidase activity	NA
AK4	Nucleotide Metabolism	NA	adenylate kinase activity; ATP binding; nucleoside triphosphate adenylate kinase activity	NA
FTSJ2	Translation	NA	rRNA (uridine-2'-O-)-methyltransferase activity	NA
IMMP2L	Import & Sorting	NA	serine-type peptidase activity	NA
AK3	Nucleotide Metabolism	NA	adenylate kinase activity; ATP binding; nucleoside triphosphate adenylate kinase activity	NA
IMMT	Mitochondrial Dynamics	NA	molecular_function	NA
CCBL2	Amino Acid Metabolism	NA	kynurenine-oxoglutarate transaminase activity; pyridoxal phosphate binding	NA
AKAP10	Mitochondrial Signaling	NA	protein kinase A binding	NA
ISCA1	Fe-S cluster biosynthesis	NA	iron-sulfur cluster binding; structural molecule activity	NA
CCDC58	Translation	NA	Unknown from fly file  	NA
AKR1B10	Fructose Metabolism	NA	alditol:NADP+ 1-oxidoreductase activity	NA
ISCA2	Fe-S cluster biosynthesis	NA	iron-sulfur cluster binding; structural molecule activity	NA
CDS2	Metabolism of Lipids & Lipoproteins	NA	phosphatidate cytidylyltransferase activity	NA
AKR1B15	Metabolism of Lipids & Lipoproteins	NA	alcohol dehydrogenase (NADP+) activity	NA
ISCU	Fe-S cluster biosynthesis	NA	iron ion binding; iron-sulfur cluster binding	NA
CHAT	Fatty Acid Metabolism	NA		NA
ALDH18A1	Amino Acid Metabolism	NA	delta1-pyrroline-5-carboxylate synthetase activity; glutamate 5-kinase activity; glutamate-5-semialdehyde dehydrogenase activity	NA
KARS	Translation	NA	ATP binding; lysine-tRNA ligase activity; nucleic acid binding	NA
CRAT	Fatty Acid Metabolism	NA		NA
KIAA0391	Translation	NA		NA
CHAT	Fatty Acid Metabolism	NA	carnitine O-acetyltransferase activity	NA
CRAT	Fatty Acid Metabolism	NA	carnitine O-acetyltransferase activity	NA
CHCHD3	Mitochondrial Dynamics	NA	Unknown from fly file  	NA
AKAP1	Mitochondrial Signaling	NA	protein kinase A binding; RNA binding	NA
CHCHD6	Mitochondrial Dynamics	NA	Unknown from fly file  	NA
ALAS1	Heme Biosynthesis	NA	5-aminolevulinate synthase activity; pyridoxal phosphate binding	NA
ALAS2	Heme Biosynthesis	NA	5-aminolevulinate synthase activity; pyridoxal phosphate binding	NA
GCAT	Heme Biosynthesis	NA	5-aminolevulinate synthase activity; pyridoxal phosphate binding	NA
ALAS1	Heme Biosynthesis	NA	glycine C-acetyltransferase activity; pyridoxal phosphate binding	NA
ALAS2	Heme Biosynthesis	NA	glycine C-acetyltransferase activity; pyridoxal phosphate binding	NA
GCAT	Heme Biosynthesis	NA	glycine C-acetyltransferase activity; pyridoxal phosphate binding	NA
ALDH7A1	Pyruvate Metabolism	NA	aldehyde dehydrogenase (NAD) activity	NA
ALKBH7	Apoptosis	NA		NA
ALKBH7	Apoptosis	NA	  	NA
FXC1	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA
FXN	Fe-S cluster biosynthesis	NA	ferric iron binding; ferroxidase activity; iron chaperone activity	NA
GARS	Translation	NA	ATP binding; glycine-tRNA ligase activity	NA
ALDH1L1	Folate & Pterine Metabolism	NA	formyltetrahydrofolate dehydrogenase activity; hydroxymethyl- formyl- and related transferase activity; methyltransferase activity; oxidoreductase activity acting on the aldehyde or oxo group of donors NAD or NADP as acceptor	NA
GATC	Translation	NA	ATP binding; glutamyl-tRNA synthase (glutamine-hydrolyzing) activity	NA
ALDH1L2	Folate & Pterine Metabolism	NA	formyltetrahydrofolate dehydrogenase activity; hydroxymethyl- formyl- and related transferase activity; methyltransferase activity; oxidoreductase activity acting on the aldehyde or oxo group of donors NAD or NADP as acceptor	NA
AARS2	Translation	NA	alanine-tRNA ligase activity; ATP binding; nucleic acid binding	NA
GDAP1	Mitochondrial Dynamics	NA	glutathione transferase activity	NA
LARS2	Translation	NA	aminoacyl-tRNA editing activity; ATP binding; leucine-tRNA ligase activity	NA
ALDH2	Fatty Acid Degradation	NA		NA
ABCB7	Import & Sorting	NA	ATP binding; ATPase activity coupled to transmembrane movement of substances; cadmium ion transmembrane transporter activity; heme transporter activity; transporter activity	NA
LETM1	Calcium Signaling & Transport	NA	calcium ion binding; calcium:sodium antiporter activity; potassium:hydrogen antiporter activity	NA
ALDH1B1	Fatty Acid Degradation	NA		NA
ABCB6	Import & Sorting	NA	ATP binding; ATPase activity coupled to transmembrane movement of substances; cadmium ion transmembrane transporter activity; heme transporter activity; transporter activity	NA
LETM2	Calcium Signaling & Transport	NA	calcium ion binding; calcium:sodium antiporter activity; potassium:hydrogen antiporter activity	NA
