gene	process	chr	function	ENSG	gene-start	gene-end	url	notes
MT-ND1	Electron transport chain	MT	MT-ND1: Mitochondrially encoded NADH dehydrogenase 1 part of enzyme complex I	ENSG00000198888	3307	4262	http://www.ncbi.nlm.nih.gov/gene/4535	
MT-ND2	Electron transport chain	MT	MT-ND2: Mitochondrially encoded NADH dehydrogenase 2 part of enzyme complex I	ENSG00000198763	4470	5511	http://www.ncbi.nlm.nih.gov/gene/4536	
MT-ND3	Electron transport chain	MT	MT-ND3: Mitochondrially encoded NADH dehydrogenase 3 part of enzyme complex I	ENSG00000198840	10059	10404	http://www.ncbi.nlm.nih.gov/gene/4537	
MT-ND4	Electron transport chain	MT	MT-ND4: Mitochondrially encoded NADH dehydrogenase 4 part of enzyme complex I	ENSG00000198886	10760	12137	http://www.ncbi.nlm.nih.gov/gene/4538	
MT-ND4L	Electron transport chain	MT	MT-ND4L: Mitochondrially encoded NADH dehydrogenase 4L part of enzyme complex I	ENSG00000212907	10470	10766	http://www.ncbi.nlm.nih.gov/gene/4539	
MT-ND5	Electron transport chain	MT	MT-ND5: Mitochondrially encoded NADH dehydrogenase 5 part of enzyme complex I	ENSG00000198786	12337	14148	http://www.ncbi.nlm.nih.gov/gene/4540	
MT-ND6	Electron transport chain	MT	MT-ND6: Mitochondrially encoded NADH dehydrogenase 6 part of enzyme complex I	ENSG00000198695	14149	14673	http://www.ncbi.nlm.nih.gov/gene/4541	
NDUFA1	Electron transport chain	X	NDUFA1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000125356	119871487	119876662	http://www.ncbi.nlm.nih.gov/gene/4694	
NDUFA2	Electron transport chain	5	NDUFA2: Essential component of complex I may be involved in regulating complex I activity or its assembly via assistance in redox processes	ENSG00000131495	140638740	140647785	http://www.ncbi.nlm.nih.gov/gene/4695	
NDUFA3	Electron transport chain	19	NDUFA3: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000170906	54102728	54109257	http://www.ncbi.nlm.nih.gov/gene/4696	
NDUFA4	Electron transport chain	7	NDUFA4: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000189043	10931951	10940256	http://www.ncbi.nlm.nih.gov/gene/4697	
NDUFA5	Electron transport chain	7	NDUFA5: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000128609	123536997	123558255	http://www.ncbi.nlm.nih.gov/gene/4698	
NDUFA6	Electron transport chain	22	NDUFA6: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000184983	42085525	42090955	http://www.ncbi.nlm.nih.gov/gene/4700	
NDUFA7	Electron transport chain	19	NDUFA7: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000267855	8308768	8321396	http://www.ncbi.nlm.nih.gov/gene/4701	
NDUFA8	Electron transport chain	9	NDUFA8: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000119421	122144058	122159819	http://www.ncbi.nlm.nih.gov/gene/4702	
NDUFA9	Electron transport chain	12	NDUFA9: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000139180	4649095	4694317	http://www.ncbi.nlm.nih.gov/gene/4704	
NDUFA10	Electron transport chain	2	NDUFA10: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000130414	239892450	240025402	http://www.ncbi.nlm.nih.gov/gene/4705	
NDUFA11	Electron transport chain	19	NDUFA11: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000174886	5891276	5904006	http://www.ncbi.nlm.nih.gov/gene/126328	
NDUFA12	Electron transport chain	12	NDUFA12: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000184752	94897055	95003770	http://www.ncbi.nlm.nih.gov/gene/55967	
NDUFA13	Electron transport chain	19	NDUFA13: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000186010	19515736	19529054	http://www.ncbi.nlm.nih.gov/gene/51079	
NDUFAB1	Electron transport chain	16	NDUFAB1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000004779	23581002	23596356	http://www.ncbi.nlm.nih.gov/gene/4706	
NDUFB1	Electron transport chain	14	NDUFB1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000183648	92116122	92121917	http://www.ncbi.nlm.nih.gov/gene/4707	
NDUFB2	Electron transport chain	7	NDUFB2: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000090266	140690777	140722790	http://www.ncbi.nlm.nih.gov/gene/4708	
NDUFB3	Electron transport chain	2	NDUFB3: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000119013	201071433	201085750	http://www.ncbi.nlm.nih.gov/gene/4709	
NDUFB4	Electron transport chain	3	NDUFB4: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000065518	120596309	120602500	http://www.ncbi.nlm.nih.gov/gene/4710	
NDUFB5	Electron transport chain	3	NDUFB5: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000136521	179604690	179627647	http://www.ncbi.nlm.nih.gov/gene/4711	
NDUFB6	Electron transport chain	9	NDUFB6: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000165264	32552999	32573184	http://www.ncbi.nlm.nih.gov/gene/4712	
NDUFB7	Electron transport chain	19	NDUFB7: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000099795	14566078	14572062	http://www.ncbi.nlm.nih.gov/gene/4713	
NDUFB8	Electron transport chain	10	NDUFB8: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000166136	100523740	100530000	http://www.ncbi.nlm.nih.gov/gene/4714	
NDUFB9	Electron transport chain	8	NDUFB9: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000147684	124539103	124568510	http://www.ncbi.nlm.nih.gov/gene/4715	
NDUFB10	Electron transport chain	16	NDUFB10: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000140990	1959508	1961975	http://www.ncbi.nlm.nih.gov/gene/4716	
NDUFB11	Electron transport chain	X	NDUFB11: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000147123	47142216	47145504	http://www.ncbi.nlm.nih.gov/gene/54539	
NDUFC1	Electron transport chain	4	NDUFC1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000109390	139266880	139302551	http://www.ncbi.nlm.nih.gov/gene/4717	
NDUFC2	Electron transport chain	11	NDUFC2: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000151366	78068304	78080219	http://www.ncbi.nlm.nih.gov/gene/4718	
NDUFS1	Electron transport chain	2	NDUFS1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000023228	206114817	206159603	http://www.ncbi.nlm.nih.gov/gene/4719	
NDUFS2	Electron transport chain	1	NDUFS2: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000158864	161197104	161214395	http://www.ncbi.nlm.nih.gov/gene/4720	
NDUFS3	Electron transport chain	11	NDUFS3: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000213619	47565336	47584562	http://www.ncbi.nlm.nih.gov/gene/4722	
NDUFS4	Electron transport chain	5	NDUFS4: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000164258	53560633	53683340	http://www.ncbi.nlm.nih.gov/gene/4724	
NDUFS5	Electron transport chain	1	NDUFS5: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000168653	39026318	39034636	http://www.ncbi.nlm.nih.gov/gene/4725	
NDUFS6	Electron transport chain	5	NDUFS6: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000145494	1801400	1816605	http://www.ncbi.nlm.nih.gov/gene/4726	
NDUFS7	Electron transport chain	19	NDUFS7: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000115286	1383527	1395589	http://www.ncbi.nlm.nih.gov/gene/374291	
NDUFS8	Electron transport chain	11	NDUFS8: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000110717	68030617	68036644	http://www.ncbi.nlm.nih.gov/gene/4728	
NDUFV1	Electron transport chain	11	NDUFV1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000167792	67606852	67612535	http://www.ncbi.nlm.nih.gov/gene/4723	
NDUFV2	Electron transport chain	18	NDUFV2: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000178127	9102630	9134345	http://www.ncbi.nlm.nih.gov/gene/4729	
